# Frequency(Hz)	Magnitude
0.000000	0.000022
0.666667	0.000022
1.333333	0.000019
2.000000	0.000016
2.666667	0.000009
3.333333	0.000006
4.000000	0.000018
4.666667	0.000034
5.333333	0.000051
6.000000	0.000064
6.666667	0.000070
7.333333	0.000057
8.000000	0.000020
8.666667	0.000057
9.333333	0.000183
10.000000	0.000370
10.666667	0.000612
11.333333	0.000875
12.000000	0.001004
12.666667	0.000330
13.333333	0.005203
14.000000	0.096721
14.666667	0.283315
15.333333	0.283299
16.000000	0.096733
16.666666	0.005207
17.333334	0.000335
18.000000	0.001017
18.666666	0.000893
19.333334	0.000629
20.000000	0.000382
20.666666	0.000188
21.333334	0.000052
22.000000	0.000034
22.666666	0.000077
23.333334	0.000087
24.000000	0.000078
24.666666	0.000055
25.333334	0.000030
26.000000	0.000010
26.666666	0.000018
27.333334	0.000028
28.000000	0.000031
28.666666	0.000027
29.333334	0.000019
30.000000	0.000011
30.666666	0.000009
31.333334	0.000014
32.000000	0.000018
32.666668	0.000016
33.333332	0.000015
34.000000	0.000010
34.666668	0.000007
35.333332	0.000009
36.000000	0.000011
36.666668	0.000012
37.333332	0.000011
38.000000	0.000009
38.666668	0.000007
39.333332	0.000007
40.000000	0.000008
40.666668	0.000010
41.333332	0.000009
42.000000	0.000008
42.666668	0.000006
43.333332	0.000006
44.000000	0.000007
44.666668	0.000007
45.333332	0.000007
46.000000	0.000007
46.666668	0.000005
47.333332	0.000005
48.000000	0.000005
48.666668	0.000006
49.333332	0.000006
50.000000	0.000006
50.666668	0.000005
51.333332	0.000005
52.000000	0.000005
52.666668	0.000005
53.333332	0.000005
54.000000	0.000005
54.666668	0.000004
55.333332	0.000005
56.000000	0.000004
56.666668	0.000005
57.333332	0.000004
58.000000	0.000005
58.666668	0.000004
59.333332	0.000004
60.000000	0.000004
60.666668	0.000004
61.333332	0.000004
62.000000	0.000005
62.666668	0.000002
63.333332	0.000005
64.000000	0.000003
64.666664	0.000004
65.333336	0.000003
66.000000	0.000004
66.666664	0.000003
67.333336	0.000003
68.000000	0.000003
68.666664	0.000003
69.333336	0.000003
70.000000	0.000003
70.666664	0.000004
71.333336	0.000002
72.000000	0.000003
72.666664	0.000003
73.333336	0.000003
74.000000	0.000003
74.666664	0.000003
75.333336	0.000003
76.000000	0.000003
76.666664	0.000003
77.333336	0.000003
78.000000	0.000003
78.666664	0.000003
79.333336	0.000002
80.000000	0.000002
80.666664	0.000003
81.333336	0.000002
82.000000	0.000003
82.666664	0.000003
83.333336	0.000002
84.000000	0.000002
84.666664	0.000002
85.333336	0.000002
86.000000	0.000002
86.666664	0.000003
87.333336	0.000002
88.000000	0.000003
88.666664	0.000001
89.333336	0.000003
90.000000	0.000002
90.666664	0.000002
91.333336	0.000002
92.000000	0.000002
92.666664	0.000002
93.333336	0.000002
94.000000	0.000002
94.666664	0.000003
95.333336	0.000002
96.000000	0.000002
96.666664	0.000002
97.333336	0.000003
98.000000	0.000002
98.666664	0.000002
99.333336	0.000002
