# Frequency(Hz)	Magnitude
0.000000	0.026143
0.666667	0.026309
1.333333	0.026532
2.000000	0.027058
2.666667	0.027787
3.333333	0.028705
4.000000	0.030207
4.666667	0.031687
5.333333	0.034484
6.000000	0.037204
6.666667	0.042421
7.333333	0.049443
8.000000	0.060791
8.666667	0.106957
9.333333	0.160641
10.000000	0.172131
10.666667	0.127348
11.333333	0.058718
12.000000	0.009336
12.666667	0.009026
13.333333	0.042242
14.000000	0.095327
14.666667	0.139382
15.333333	0.146880
16.000000	0.114975
16.666666	0.067825
17.333334	0.040052
18.000000	0.033035
18.666666	0.026529
19.333334	0.022327
20.000000	0.019604
20.666666	0.016998
21.333334	0.015320
22.000000	0.013728
22.666666	0.012459
23.333334	0.011441
24.000000	0.010460
24.666666	0.009721
25.333334	0.008996
26.000000	0.008390
26.666666	0.007864
27.333334	0.007351
28.000000	0.006946
28.666666	0.006530
29.333334	0.006188
30.000000	0.005864
30.666666	0.005560
31.333334	0.005303
32.000000	0.005039
32.666668	0.004823
33.333332	0.004605
34.000000	0.004411
34.666668	0.004232
35.333332	0.004056
36.000000	0.003905
36.666668	0.003752
37.333332	0.003618
38.000000	0.003488
38.666668	0.003366
39.333332	0.003255
40.000000	0.003145
40.666668	0.003046
41.333332	0.002950
42.000000	0.002859
42.666668	0.002775
43.333332	0.002694
44.000000	0.002618
44.666668	0.002546
45.333332	0.002476
46.000000	0.002412
46.666668	0.002349
47.333332	0.002291
48.000000	0.002235
48.666668	0.002180
49.333332	0.002130
50.000000	0.002080
50.666668	0.002035
51.333332	0.001989
52.000000	0.001946
52.666668	0.001906
53.333332	0.001866
54.000000	0.001830
54.666668	0.001793
55.333332	0.001759
56.000000	0.001726
56.666668	0.001694
57.333332	0.001664
58.000000	0.001635
58.666668	0.001608
59.333332	0.001580
60.000000	0.001555
60.666668	0.001530
61.333332	0.001505
62.000000	0.001483
62.666668	0.001460
63.333332	0.001440
64.000000	0.001420
64.666664	0.001400
65.333336	0.001381
66.000000	0.001362
66.666664	0.001345
67.333336	0.001328
68.000000	0.001311
68.666664	0.001296
69.333336	0.001281
70.000000	0.001266
70.666664	0.001252
71.333336	0.001238
72.000000	0.001226
72.666664	0.001213
73.333336	0.001201
74.000000	0.001189
74.666664	0.001178
75.333336	0.001167
76.000000	0.001157
76.666664	0.001147
77.333336	0.001138
78.000000	0.001129
78.666664	0.001120
79.333336	0.001111
80.000000	0.001104
80.666664	0.001096
81.333336	0.001088
82.000000	0.001081
82.666664	0.001074
83.333336	0.001068
84.000000	0.001062
84.666664	0.001056
85.333336	0.001051
86.000000	0.001045
86.666664	0.001040
87.333336	0.001035
88.000000	0.001030
88.666664	0.001027
89.333336	0.001023
90.000000	0.001020
90.666664	0.001016
91.333336	0.001013
92.000000	0.001010
92.666664	0.001007
93.333336	0.001004
94.000000	0.001002
94.666664	0.001001
95.333336	0.000999
96.000000	0.000997
96.666664	0.000996
97.333336	0.000995
98.000000	0.000994
98.666664	0.000994
99.333336	0.000993
