# Time(sec)	Signal	Window
4.480000	0.000000	0.000000
4.485000	0.000047	0.000152
4.490000	0.000357	0.000607
4.495000	0.001105	0.001365
4.500000	0.002308	0.002427
4.505000	0.003790	0.003790
4.510000	0.005187	0.005454
4.515000	0.006002	0.007419
4.520000	0.005691	0.009683
4.525000	0.003784	0.012244
4.530000	0.000000	0.015102
4.535000	-0.005641	0.018253
4.540000	-0.012754	0.021698
4.545000	-0.020575	0.025433
4.550000	-0.028014	0.029455
4.555000	-0.033764	0.033764
4.560000	-0.036478	0.038355
4.565000	-0.034971	0.043227
4.570000	-0.028435	0.048376
4.575000	-0.016625	0.053800
4.580000	-0.000000	0.059494
4.585000	0.020227	0.065456
4.590000	0.042133	0.071681
4.595000	0.063238	0.078166
4.600000	0.080752	0.084908
4.605000	0.091902	0.091902
4.610000	0.094291	0.099143
4.615000	0.086263	0.106628
4.620000	0.067214	0.114351
4.625000	0.037795	0.122309
4.630000	0.000001	0.130496
4.635000	-0.042925	0.138907
4.640000	-0.086719	0.147537
4.645000	-0.126515	0.156382
4.650000	-0.157337	0.165435
4.655000	-0.174691	0.174691
4.660000	-0.175131	0.184144
4.665000	-0.156779	0.193790
4.670000	-0.119684	0.203621
4.675000	-0.066016	0.213632
4.680000	0.000001	0.223818
4.685000	0.072362	0.234170
4.690000	0.143823	0.244684
4.695000	0.206585	0.255354
4.700000	0.253144	0.266171
4.705000	0.277131	0.277131
4.710000	0.274119	0.288226
4.715000	0.242260	0.299449
4.720000	0.182680	0.310794
4.725000	0.099583	0.322255
4.730000	-0.000001	0.333823
4.735000	-0.106761	0.345491
4.740000	-0.209989	0.357254
4.745000	-0.298610	0.369104
4.750000	-0.362384	0.381032
4.755000	-0.393033	0.393033
4.760000	-0.385272	0.405099
4.765000	-0.337542	0.417223
4.770000	-0.252393	0.429397
4.775000	-0.136469	0.441614
4.780000	-0.000000	0.453866
4.785000	0.144050	0.466146
4.790000	0.281224	0.478447
4.795000	0.397036	0.490761
4.800000	0.478457	0.503080
4.805000	0.515398	0.515398
4.810000	0.501878	0.527706
4.815000	0.436865	0.539997
4.820000	0.324614	0.552264
4.825000	0.174437	0.564500
4.830000	0.000002	0.576696
4.835000	-0.181966	0.588845
4.840000	-0.353223	0.600941
4.845000	-0.495909	0.612976
4.850000	-0.594354	0.624941
4.855000	-0.636832	0.636832
4.860000	-0.616893	0.648638
4.865000	-0.534238	0.660355
4.870000	-0.394980	0.671974
4.875000	-0.211209	0.683489
4.880000	-0.000004	0.694893
4.885000	0.218222	0.706178
4.890000	0.421637	0.717338
4.895000	0.589261	0.728366
4.900000	0.703072	0.739256
4.905000	0.750000	0.750000
4.910000	0.723365	0.760592
4.915000	0.623774	0.771027
4.920000	0.459230	0.781296
4.925000	0.244556	0.791395
4.930000	-0.000005	0.801317
4.935000	-0.250629	0.811056
4.940000	-0.482344	0.820607
4.945000	-0.671452	0.829962
4.950000	-0.798049	0.839118
4.955000	-0.848067	0.848067
4.960000	-0.814869	0.856805
4.965000	-0.700066	0.865327
4.970000	-0.513502	0.873626
4.975000	-0.272464	0.881699
4.980000	0.000003	0.889540
4.985000	0.277229	0.897145
4.990000	0.531659	0.904508
4.995000	0.737518	0.911626
5.000000	0.873541	0.918495
5.005000	0.925109	0.925109
5.010000	0.885875	0.931464
5.015000	0.758504	0.937558
5.020000	0.554508	0.943387
5.025000	0.293247	0.948946
5.030000	0.000000	0.954233
5.035000	-0.296429	0.959243
5.040000	-0.566610	0.963976
5.045000	-0.783477	0.968426
5.050000	-0.924990	0.972592
5.055000	-0.976471	0.976471
5.060000	-0.932094	0.980061
5.065000	-0.795551	0.983359
5.070000	-0.579772	0.986364
5.075000	-0.305636	0.989074
5.080000	-0.000003	0.991487
5.085000	0.307044	0.993601
5.090000	0.585088	0.995416
5.095000	0.806535	0.996930
5.100000	0.949288	0.998142
5.105000	0.999052	0.999052
5.110000	0.950733	0.999659
5.115000	0.808985	0.999962
5.120000	0.587767	0.999962
5.125000	0.308910	0.999659
5.130000	0.000006	0.999052
5.135000	-0.308444	0.998142
5.140000	-0.585975	0.996930
5.145000	-0.805309	0.995416
5.150000	-0.944968	0.993601
5.155000	-0.991487	0.991487
5.160000	-0.940663	0.989074
5.165000	-0.797986	0.986364
5.170000	-0.577999	0.983359
5.175000	-0.302857	0.980061
5.180000	0.000006	0.976471
5.185000	0.300546	0.972592
5.190000	0.569231	0.968426
5.195000	0.779871	0.963976
5.200000	0.912296	0.959243
5.205000	0.954233	0.954233
5.210000	0.902500	0.948946
5.215000	0.763218	0.943387
5.220000	0.551080	0.937558
5.225000	0.287842	0.931464
5.230000	-0.000003	0.925109
5.235000	-0.283826	0.918495
5.240000	-0.535842	0.911626
5.245000	-0.731760	0.904508
5.250000	-0.853236	0.897145
5.255000	-0.889540	0.889540
5.260000	-0.838545	0.881699
5.265000	-0.706782	0.873626
5.270000	-0.508626	0.865327
5.275000	-0.264773	0.856805
5.280000	-0.000000	0.848067
5.285000	0.259307	0.839118
5.290000	0.487849	0.829962
5.295000	0.663881	0.820607
5.300000	0.771360	0.811056
5.305000	0.801317	0.801317
5.310000	0.752658	0.791395
5.315000	0.632086	0.781296
5.320000	0.453200	0.771027
5.325000	0.235033	0.760592
5.330000	-0.000009	0.750000
5.335000	-0.228435	0.739256
5.340000	-0.428121	0.728366
5.345000	-0.580340	0.717338
5.350000	-0.671618	0.706178
5.355000	-0.694893	0.694893
5.360000	-0.650038	0.683489
5.365000	-0.543638	0.671974
5.370000	-0.388142	0.660355
5.375000	-0.200448	0.648638
5.380000	-0.000004	0.636832
5.385000	0.193118	0.624941
5.390000	0.360302	0.612976
5.395000	0.486167	0.600941
5.400000	0.560024	0.588845
5.405000	0.576696	0.576696
5.410000	0.536870	0.564500
5.415000	0.446786	0.552264
5.420000	0.317406	0.539997
5.425000	0.163071	0.527706
5.430000	-0.000003	0.515398
5.435000	-0.155467	0.503080
5.440000	-0.288458	0.490761
5.445000	-0.387071	0.478447
5.450000	-0.443332	0.466146
5.455000	-0.453866	0.453866
5.460000	-0.420001	0.441614
5.465000	-0.347390	0.429397
5.470000	-0.245236	0.417223
5.475000	-0.125178	0.405099
5.480000	-0.000005	0.393033
5.485000	0.117744	0.381032
5.490000	0.216954	0.369104
5.495000	0.289027	0.357254
5.500000	0.328581	0.345491
5.505000	0.333823	0.333823
5.510000	0.306482	0.322255
5.515000	0.251436	0.310794
5.520000	0.176015	0.299449
5.525000	0.089069	0.288226
5.530000	0.000000	0.277131
5.535000	-0.082253	0.266171
5.540000	-0.150096	0.255354
5.545000	-0.197953	0.244684
5.550000	-0.222709	0.234170
5.555000	-0.223818	0.223818
5.560000	-0.203176	0.213632
5.565000	-0.164734	0.203621
5.570000	-0.113907	0.193790
5.575000	-0.056903	0.184144
5.580000	0.000002	0.174691
5.585000	0.051120	0.165435
5.590000	0.091918	0.156382
5.595000	0.119360	0.147537
5.600000	0.132109	0.138907
5.605000	0.130496	0.130496
5.610000	0.116323	0.122309
5.615000	0.092512	0.114351
5.620000	0.062673	0.106628
5.625000	0.030638	0.099143
5.630000	0.000001	0.091902
5.635000	-0.026238	0.084908
5.640000	-0.045946	0.078166
5.645000	-0.057991	0.071681
5.650000	-0.062252	0.065456
5.655000	-0.059494	0.059494
5.660000	-0.051166	0.053800
5.665000	-0.039137	0.048376
5.670000	-0.025409	0.043227
5.675000	-0.011853	0.038355
5.680000	0.000000	0.033764
5.685000	0.009103	0.029455
5.690000	0.014949	0.025433
5.695000	0.017554	0.021698
5.700000	0.017360	0.018253
5.705000	0.015102	0.015102
5.710000	0.011645	0.012244
5.715000	0.007833	0.009683
5.720000	0.004361	0.007419
5.725000	0.001685	0.005454
5.730000	0.000000	0.003790
5.735000	-0.000750	0.002427
5.740000	-0.000803	0.001365
5.745000	-0.000491	0.000607
5.750000	-0.000144	0.000152
5.755000	-0.000000	0.000000
