# Time(sec)	Signal	Window
3.200000	-0.000000	0.000000
3.205000	-0.000107	0.000152
3.210000	-0.000491	0.000607
3.215000	-0.001217	0.001365
3.220000	-0.002308	0.002427
3.225000	-0.003743	0.003790
3.230000	-0.005454	0.005454
3.235000	-0.007328	0.007419
3.240000	-0.009209	0.009683
3.245000	-0.010909	0.012244
3.250000	-0.012217	0.015102
3.255000	-0.012907	0.018253
3.260000	-0.012754	0.021698
3.265000	-0.011546	0.025433
3.270000	-0.009102	0.029455
3.275000	-0.005282	0.033764
3.280000	-0.000000	0.038355
3.285000	0.006762	0.043227
3.290000	0.014949	0.048376
3.295000	0.024425	0.053800
3.300000	0.034970	0.059494
3.305000	0.046284	0.065456
3.310000	0.057991	0.071681
3.315000	0.069647	0.078166
3.320000	0.080752	0.084908
3.325000	0.090770	0.091902
3.330000	0.099143	0.099143
3.335000	0.105315	0.106628
3.340000	0.108754	0.114351
3.345000	0.108978	0.122309
3.350000	0.105573	0.130496
3.355000	0.098222	0.138907
3.360000	0.086720	0.147537
3.365000	0.070996	0.156382
3.370000	0.051123	0.165435
3.375000	0.027328	0.174691
3.380000	0.000001	0.184144
3.385000	-0.030316	0.193790
3.390000	-0.062922	0.203621
3.395000	-0.096987	0.213632
3.400000	-0.131556	0.223818
3.405000	-0.165583	0.234170
3.410000	-0.197954	0.244684
3.415000	-0.227522	0.255354
3.420000	-0.253144	0.266171
3.425000	-0.273719	0.277131
3.430000	-0.288226	0.288226
3.435000	-0.295763	0.299449
3.440000	-0.295583	0.310794
3.445000	-0.287131	0.322255
3.450000	-0.270068	0.333823
3.455000	-0.244300	0.345491
3.460000	-0.209988	0.357254
3.465000	-0.167570	0.369104
3.470000	-0.117745	0.381032
3.475000	-0.061485	0.393033
3.480000	0.000001	0.405099
3.485000	0.065267	0.417223
3.490000	0.132691	0.429397
3.495000	0.200487	0.441614
3.500000	0.266776	0.453866
3.505000	0.329614	0.466146
3.510000	0.387072	0.478447
3.515000	0.437270	0.490761
3.520000	0.478458	0.503080
3.525000	0.509052	0.515398
3.530000	0.000000	0.527706
3.535000	-0.166872	0.539997
3.540000	-0.324612	0.552264
3.545000	-0.456692	0.564500
3.550000	-0.548470	0.576696
3.555000	-0.588845	0.588845
3.560000	-0.571529	0.600941
3.565000	-0.495906	0.612976
3.570000	-0.367333	0.624941
3.575000	-0.196789	0.636832
3.580000	-0.000002	0.648638
3.585000	0.204064	0.660355
3.590000	0.394975	0.671974
3.595000	0.552956	0.683489
3.600000	0.660882	0.694893
3.605000	0.706178	0.706178
3.610000	0.682230	0.717338
3.615000	0.589260	0.728366
3.620000	0.434527	0.739256
3.625000	0.231761	0.750000
3.630000	0.000005	0.760592
3.635000	-0.238261	0.771027
3.640000	-0.459230	0.781296
3.645000	-0.640253	0.791395
3.650000	-0.762096	0.801317
3.655000	-0.811056	0.811056
3.660000	-0.780441	0.820607
3.665000	-0.671454	0.829962
3.670000	-0.493216	0.839118
3.675000	-0.262068	0.848067
3.680000	0.000005	0.856805
3.685000	0.267399	0.865327
3.690000	0.513508	0.873626
3.695000	0.713308	0.881699
3.700000	0.846004	0.889540
3.705000	0.897145	0.897145
3.710000	0.860238	0.904508
3.715000	0.737523	0.911626
3.720000	0.539875	0.918495
3.725000	0.285878	0.925109
3.730000	-0.000003	0.931464
3.735000	-0.289717	0.937558
3.740000	-0.554511	0.943387
3.745000	-0.767710	0.948946
3.750000	-0.907530	0.954233
3.755000	-0.959243	0.959243
3.760000	-0.916795	0.963976
3.765000	-0.783477	0.968426
3.770000	-0.571675	0.972592
3.775000	-0.301753	0.976471
3.780000	0.000000	0.980061
3.785000	0.303881	0.983359
3.790000	0.579770	0.986364
3.795000	0.800181	0.989074
3.800000	0.942959	0.991487
3.805000	0.993601	0.993601
3.810000	0.946697	0.995416
3.815000	0.806530	0.996930
3.820000	0.586695	0.998142
3.825000	0.308719	0.999052
3.830000	0.000003	0.999659
3.835000	-0.309009	0.999962
3.840000	-0.587760	0.999962
3.845000	-0.808743	0.999659
3.850000	-0.950153	0.999052
3.855000	-0.998142	0.998142
3.860000	-0.948138	0.996930
3.865000	-0.805307	0.995416
3.870000	-0.584028	0.993601
3.875000	-0.306384	0.991487
3.880000	-0.000006	0.989074
3.885000	0.304804	0.986364
3.890000	0.577999	0.983359
3.895000	0.792886	0.980061
3.900000	0.928677	0.976471
3.905000	0.972592	0.972592
3.910000	0.921026	0.968426
3.915000	0.779873	0.963976
3.920000	0.563824	0.959243
3.925000	0.294875	0.954233
3.930000	-0.000006	0.948946
3.935000	-0.291521	0.943387
3.940000	-0.551087	0.937558
3.945000	-0.753569	0.931464
3.950000	-0.879832	0.925109
3.955000	-0.918495	0.918495
3.960000	-0.867007	0.911626
3.965000	-0.731765	0.904508
3.970000	-0.527326	0.897145
3.975000	-0.274887	0.889540
3.980000	0.000003	0.881699
3.985000	0.269961	0.873626
3.990000	0.508628	0.865327
3.995000	0.693167	0.856805
4.000000	0.806560	0.848067
4.005000	0.839118	0.839118
4.010000	0.789341	0.829962
4.015000	0.663888	0.820607
4.020000	0.476727	0.811056
4.025000	0.247626	0.801317
4.030000	-0.000000	0.791395
4.035000	-0.241439	0.781296
4.040000	-0.453198	0.771027
4.045000	-0.615335	0.760592
4.050000	-0.713292	0.750000
4.055000	-0.739256	0.739256
4.060000	-0.692718	0.728366
4.065000	-0.580337	0.717338
4.070000	-0.415083	0.706178
4.075000	-0.214731	0.694893
4.080000	-0.000002	0.683489
4.085000	0.207654	0.671974
4.090000	0.388145	0.660355
4.095000	0.524761	0.648638
4.100000	0.605662	0.636832
4.105000	0.624941	0.624941
4.110000	0.582975	0.612976
4.115000	0.486171	0.600941
4.120000	0.346117	0.588845
4.125000	0.178208	0.576696
4.130000	0.000003	0.564500
4.135000	-0.170660	0.552264
4.140000	-0.317399	0.539997
4.145000	-0.426923	0.527706
4.150000	-0.490171	0.515398
4.155000	-0.503080	0.503080
4.160000	-0.466740	0.490761
4.165000	-0.387072	0.478447
4.170000	-0.273991	0.466146
4.175000	-0.140253	0.453866
4.180000	0.000003	0.441614
4.185000	0.132690	0.429397
4.190000	0.245239	0.417223
4.195000	0.327732	0.405099
4.200000	0.373798	0.393033
4.205000	0.381032	0.381032
4.210000	0.351038	0.369104
4.215000	0.289025	0.357254
4.220000	0.203074	0.345491
4.225000	0.103158	0.333823
4.230000	-0.000001	0.322255
4.235000	-0.096039	0.310794
4.240000	-0.176012	0.299449
4.245000	-0.233179	0.288226
4.250000	-0.263567	0.277131
4.255000	-0.266171	0.266171
4.260000	-0.242856	0.255354
4.265000	-0.197955	0.244684
4.270000	-0.137642	0.234170
4.275000	-0.069165	0.223818
4.280000	-0.000000	0.213632
4.285000	0.062924	0.203621
4.290000	0.113907	0.193790
4.295000	0.148977	0.184144
4.300000	0.166141	0.174691
4.305000	0.165435	0.165435
4.310000	0.148728	0.156382
4.315000	0.119360	0.147537
4.320000	0.081648	0.138907
4.325000	0.040325	0.130496
4.330000	0.000000	0.122309
4.335000	-0.035337	0.114351
4.340000	-0.062674	0.106628
4.345000	-0.080208	0.099143
4.350000	-0.087403	0.091902
4.355000	-0.084908	0.084908
4.360000	-0.074341	0.078166
4.365000	-0.057991	0.071681
4.370000	-0.038474	0.065456
4.375000	-0.018385	0.059494
4.380000	-0.000000	0.053800
4.385000	0.014949	0.048376
4.390000	0.025408	0.043227
4.395000	0.031030	0.038355
4.400000	0.032111	0.033764
4.405000	0.029455	0.029455
4.410000	0.024188	0.025433
4.415000	0.017554	0.021698
4.420000	0.010729	0.018253
4.425000	0.004667	0.015102
4.430000	-0.000000	0.012244
4.435000	-0.002992	0.009683
4.440000	-0.004361	0.007419
4.445000	-0.004413	0.005454
4.450000	-0.003604	0.003790
4.455000	-0.002427	0.002427
4.460000	-0.001299	0.001365
4.465000	-0.000491	0.000607
4.470000	-0.000089	0.000152
4.475000	-0.000000	0.000000
