# Time(sec)	Signal	Window
8.960000	-0.000000	0.000000
8.965000	-0.000144	0.000152
8.970000	-0.000577	0.000607
8.975000	-0.000803	0.001365
8.980000	-0.000000	0.002427
8.985000	0.002228	0.003790
8.990000	0.005187	0.005454
8.995000	0.007056	0.007419
9.000000	0.005692	0.009683
9.005000	0.000000	0.012244
9.010000	-0.008876	0.015102
9.015000	-0.017360	0.018253
9.020000	-0.020636	0.021698
9.025000	-0.014949	0.025433
9.030000	-0.000000	0.029455
9.035000	0.019846	0.033764
9.040000	0.036479	0.038355
9.045000	0.041112	0.043227
9.050000	0.028435	0.048376
9.055000	-0.000001	0.053800
9.060000	-0.034971	0.059494
9.065000	-0.062252	0.065456
9.070000	-0.068173	0.071681
9.075000	-0.045944	0.078166
9.080000	0.000002	0.084908
9.085000	0.054017	0.091902
9.090000	0.094290	0.099143
9.095000	0.101409	0.106628
9.100000	0.067212	0.114351
9.105000	0.000003	0.122309
9.110000	-0.076702	0.130496
9.115000	-0.132108	0.138907
9.120000	-0.140315	0.147537
9.125000	-0.091922	0.156382
9.130000	-0.000002	0.165435
9.135000	0.102681	0.174691
9.140000	0.175133	0.184144
9.145000	0.184307	0.193790
9.150000	0.119688	0.203621
9.155000	-0.000000	0.213632
9.160000	-0.131559	0.223818
9.165000	-0.222711	0.234170
9.170000	-0.232710	0.244684
9.175000	-0.150094	0.255354
9.180000	0.000003	0.266171
9.185000	0.162899	0.277131
9.190000	0.274117	0.288226
9.195000	0.284794	0.299449
9.200000	0.182678	0.310794
9.205000	-0.000008	0.322255
9.210000	-0.196210	0.333823
9.215000	-0.328581	0.345491
9.220000	-0.339768	0.357254
9.225000	-0.216947	0.369104
9.230000	-0.000009	0.381032
9.235000	0.231016	0.393033
9.240000	0.385273	0.405099
9.245000	0.396800	0.417223
9.250000	0.252402	0.429397
9.255000	0.000005	0.441614
9.260000	-0.266777	0.453866
9.265000	-0.443334	0.466146
9.270000	-0.455034	0.478447
9.275000	-0.288467	0.490761
9.280000	-0.000000	0.503080
9.285000	0.302949	0.515398
9.290000	0.501883	0.527706
9.295000	0.513561	0.539997
9.300000	0.324587	0.552264
9.305000	0.000027	0.564500
9.310000	-0.338958	0.576696
9.315000	-0.560022	0.588845
9.320000	-0.571530	0.600941
9.325000	-0.360293	0.612976
9.330000	0.000015	0.624941
9.335000	0.374340	0.636832
9.340000	0.616902	0.648638
9.345000	0.628046	0.660355
9.350000	0.394998	0.671974
9.355000	0.000016	0.683489
9.360000	-0.408442	0.694893
9.365000	-0.671616	0.706178
9.370000	-0.682225	0.717338
9.375000	-0.428103	0.728366
9.380000	0.000035	0.739256
9.385000	0.440804	0.750000
9.390000	0.723356	0.760592
9.395000	0.733297	0.771027
9.400000	0.459244	0.781296
9.405000	0.000000	0.791395
9.410000	-0.471012	0.801317
9.415000	-0.771368	0.811056
9.420000	-0.780432	0.820607
9.425000	-0.487801	0.829962
9.430000	-0.000040	0.839118
9.435000	0.498458	0.848067
9.440000	0.814865	0.856805
9.445000	0.822976	0.865327
9.450000	0.513498	0.873626
9.455000	-0.000021	0.881699
9.460000	-0.522886	0.889540
9.465000	-0.853250	0.897145
9.470000	-0.860253	0.904508
9.475000	-0.535869	0.911626
9.480000	-0.000022	0.918495
9.485000	0.543758	0.925109
9.490000	0.885877	0.931464
9.495000	0.891666	0.937558
9.500000	0.554483	0.943387
9.505000	-0.000045	0.948946
9.510000	-0.560839	0.954233
9.515000	-0.912282	0.959243
9.520000	-0.916804	0.963976
9.525000	-0.569238	0.968426
9.530000	-0.000000	0.972592
9.535000	0.573967	0.976471
9.540000	0.932102	0.980061
9.545000	0.935217	0.983359
9.550000	0.579724	0.986364
9.555000	0.000047	0.989074
9.560000	-0.582754	0.991487
9.565000	-0.944965	0.993601
9.570000	-0.946698	0.995416
9.575000	-0.585973	0.996930
9.580000	0.000024	0.998142
9.585000	0.587259	0.999052
9.590000	0.950748	0.999659
9.595000	0.951037	0.999962
9.600000	0.587794	0.999962
9.605000	0.000024	0.999659
9.610000	-0.587220	0.999052
9.615000	-0.949291	0.998142
9.620000	-0.948130	0.996930
9.625000	-0.585064	0.995416
9.630000	0.000048	0.993601
9.635000	0.582735	0.991487
9.640000	0.940652	0.989074
9.645000	0.938097	0.986364
9.650000	0.578015	0.983359
9.655000	0.000000	0.980061
9.660000	-0.573967	0.976471
9.665000	-0.924999	0.972592
9.670000	-0.921015	0.968426
9.675000	-0.566566	0.963976
9.680000	-0.000046	0.959243
9.685000	0.560858	0.954233
9.690000	0.902496	0.948946
9.695000	0.897216	0.943387
9.700000	0.551076	0.937558
9.705000	-0.000022	0.931464
9.710000	-0.543794	0.925109
9.715000	-0.873555	0.918495
9.720000	-0.867023	0.911626
9.725000	-0.531685	0.904508
9.730000	-0.000022	0.897145
9.735000	0.522852	0.889540
9.740000	0.838547	0.881699
9.745000	0.830863	0.873626
9.750000	0.508603	0.865327
9.755000	-0.000041	0.856805
9.760000	-0.498442	0.848067
9.765000	-0.798037	0.839118
9.770000	-0.789348	0.829962
9.775000	-0.482350	0.820607
9.780000	-0.000000	0.811056
9.785000	0.471012	0.801317
9.790000	0.752669	0.791395
9.795000	0.743047	0.781296
9.800000	0.453162	0.771027
9.805000	0.000036	0.760592
9.810000	-0.440819	0.750000
9.815000	-0.703070	0.739256
9.820000	-0.692719	0.728366
9.825000	-0.421635	0.717338
9.830000	0.000017	0.706178
9.835000	0.408469	0.694893
9.840000	0.650048	0.683489
9.845000	0.639097	0.671974
9.850000	0.388167	0.660355
9.855000	0.000016	0.648638
9.860000	-0.374315	0.636832
9.865000	-0.594356	0.624941
9.870000	-0.582971	0.612976
9.875000	-0.353208	0.600941
9.880000	0.000028	0.588845
9.885000	0.338946	0.576696
9.890000	0.536864	0.564500
9.895000	0.525239	0.552264
9.900000	0.317409	0.539997
9.905000	-0.000000	0.527706
9.910000	-0.302949	0.515398
9.915000	-0.478462	0.503080
9.920000	-0.466734	0.490761
9.925000	-0.281202	0.478447
9.930000	-0.000022	0.466146
9.935000	0.266763	0.453866
9.940000	0.419997	0.441614
9.945000	0.408381	0.429397
9.950000	0.245234	0.417223
9.955000	-0.000010	0.405099
9.960000	-0.231031	0.393033
9.965000	-0.362390	0.381032
