# Time(sec)	Signal	Window
2.560000	0.000000	0.000000
2.565000	0.000069	0.000152
2.570000	0.000188	0.000607
2.575000	0.000214	0.001365
2.580000	0.000000	0.002427
2.585000	-0.000593	0.003790
2.590000	-0.001685	0.005454
2.595000	-0.003368	0.007419
2.600000	-0.005691	0.009683
2.605000	-0.008658	0.012244
2.610000	-0.012217	0.015102
2.615000	-0.016264	0.018253
2.620000	-0.020636	0.021698
2.625000	-0.025119	0.025433
2.630000	-0.029455	0.029455
2.635000	-0.033348	0.033764
2.640000	-0.036478	0.038355
2.645000	-0.038516	0.043227
2.650000	-0.039137	0.048376
2.655000	-0.038042	0.053800
2.660000	-0.034970	0.059494
2.665000	-0.029716	0.065456
2.670000	-0.022151	0.071681
2.675000	-0.012228	0.078166
2.680000	-0.000000	0.084908
2.685000	0.014376	0.091902
2.690000	0.030637	0.099143
2.695000	0.048408	0.106628
2.700000	0.067214	0.114351
2.705000	0.086485	0.122309
2.710000	0.105573	0.130496
2.715000	0.123767	0.138907
2.720000	0.140316	0.147537
2.725000	0.154456	0.156382
2.730000	0.165435	0.165435
2.735000	0.172540	0.174691
2.740000	0.175132	0.184144
2.745000	0.172668	0.193790
2.750000	0.164733	0.203621
2.755000	0.151061	0.213632
2.760000	0.131557	0.223818
2.765000	0.106311	0.234170
2.770000	0.075612	0.244684
2.775000	0.039946	0.255354
2.780000	0.000000	0.266171
2.785000	-0.043353	0.277131
2.790000	-0.089067	0.288226
2.795000	-0.135947	0.299449
2.800000	-0.182680	0.310794
2.805000	-0.227868	0.322255
2.810000	-0.270068	0.333823
2.815000	-0.307835	0.345491
2.820000	-0.339769	0.357254
2.825000	-0.364559	0.369104
2.830000	-0.381032	0.381032
2.835000	-0.388195	0.393033
2.840000	-0.385273	0.405099
2.845000	-0.371748	0.417223
2.850000	-0.347389	0.429397
2.855000	-0.312268	0.441614
2.860000	-0.266775	0.453866
2.865000	-0.211625	0.466146
2.870000	-0.147848	0.478447
2.875000	-0.076771	0.490761
2.880000	0.000000	0.503080
2.885000	0.080626	0.515398
2.890000	0.163070	0.527706
2.895000	0.245154	0.539997
2.900000	0.324613	0.552264
2.905000	0.399161	0.564500
2.910000	0.466557	0.576696
2.915000	0.524665	0.588845
2.920000	0.571529	0.600941
2.925000	0.605429	0.612976
2.930000	0.624941	0.624941
2.935000	0.628991	0.636832
2.940000	0.616892	0.648638
2.945000	0.588381	0.660355
2.950000	0.543639	0.671974
2.955000	0.483301	0.683489
2.960000	0.408449	0.694893
2.965000	0.320599	0.706178
2.970000	0.221668	0.717338
2.975000	0.113940	0.728366
2.980000	-0.000001	0.739256
2.985000	-0.117327	0.750000
2.990000	-0.235037	0.760592
2.995000	-0.350040	0.771027
