# Frequency(Hz)	Magnitude
0.000000	0.000010
0.666667	0.000009
1.333333	0.000006
2.000000	0.000002
2.666667	0.000003
3.333333	0.000012
4.000000	0.000008
4.666667	0.000018
5.333333	0.000013
6.000000	0.000009
6.666667	0.000000
7.333333	0.000011
8.000000	0.000024
8.666667	0.000034
9.333333	0.000039
10.000000	0.000035
10.666667	0.000019
11.333333	0.000013
12.000000	0.000055
12.666667	0.000113
13.333333	0.000168
14.000000	0.000206
14.666667	0.000194
15.333333	0.000078
16.000000	0.000246
16.666666	0.000990
17.333334	0.002688
18.000000	0.007142
18.666666	0.025547
19.333334	0.195283
20.000000	0.318749
20.666666	0.195283
21.333334	0.025547
22.000000	0.007142
22.666666	0.002687
23.333334	0.000989
24.000000	0.000246
24.666666	0.000077
25.333334	0.000194
26.000000	0.000205
26.666666	0.000167
27.333334	0.000113
28.000000	0.000055
28.666666	0.000013
29.333334	0.000019
30.000000	0.000035
30.666666	0.000038
31.333334	0.000033
32.000000	0.000023
32.666668	0.000011
33.333332	0.000000
34.000000	0.000008
34.666668	0.000012
35.333332	0.000015
36.000000	0.000010
36.666668	0.000008
37.333332	0.000003
38.000000	0.000001
38.666668	0.000004
39.333332	0.000006
40.000000	0.000006
40.666668	0.000005
41.333332	0.000003
42.000000	0.000001
42.666668	0.000002
43.333332	0.000003
44.000000	0.000009
44.666668	0.000002
45.333332	0.000003
46.000000	0.000002
46.666668	0.000000
47.333332	0.000001
48.000000	0.000002
48.666668	0.000002
49.333332	0.000002
50.000000	0.000001
50.666668	0.000000
51.333332	0.000001
52.000000	0.000001
52.666668	0.000002
53.333332	0.000001
54.000000	0.000001
54.666668	0.000001
55.333332	0.000000
56.000000	0.000000
56.666668	0.000001
57.333332	0.000001
58.000000	0.000001
58.666668	0.000001
59.333332	0.000001
60.000000	0.000002
60.666668	0.000001
61.333332	0.000000
62.000000	0.000001
62.666668	0.000001
63.333332	0.000000
64.000000	0.000000
64.666664	0.000000
65.333336	0.000000
66.000000	0.000001
66.666664	0.000001
67.333336	0.000002
68.000000	0.000003
68.666664	0.000003
69.333336	0.000001
70.000000	0.000001
70.666664	0.000001
71.333336	0.000000
72.000000	0.000000
72.666664	0.000000
73.333336	0.000000
74.000000	0.000000
74.666664	0.000000
75.333336	0.000000
76.000000	0.000001
76.666664	0.000001
77.333336	0.000000
78.000000	0.000000
78.666664	0.000000
79.333336	0.000000
80.000000	0.000000
80.666664	0.000000
81.333336	0.000000
82.000000	0.000000
82.666664	0.000000
83.333336	0.000002
84.000000	0.000002
84.666664	0.000001
85.333336	0.000000
86.000000	0.000000
86.666664	0.000000
87.333336	0.000000
88.000000	0.000000
88.666664	0.000000
89.333336	0.000000
90.000000	0.000000
90.666664	0.000000
91.333336	0.000002
92.000000	0.000003
92.666664	0.000002
93.333336	0.000001
94.000000	0.000000
94.666664	0.000000
95.333336	0.000000
96.000000	0.000000
96.666664	0.000000
97.333336	0.000000
98.000000	0.000000
98.666664	0.000000
99.333336	0.000000
