# Time(sec)	Signal	Window
1.280000	0.000000	0.000000
1.285000	0.000024	0.000152
1.290000	0.000188	0.000607
1.295000	0.000620	0.001365
1.300000	0.001426	0.002427
1.305000	0.002680	0.003790
1.310000	0.004413	0.005454
1.315000	0.006610	0.007419
1.320000	0.009209	0.009683
1.325000	0.012093	0.012244
1.330000	0.015102	0.015102
1.335000	0.018029	0.018253
1.340000	0.020636	0.021698
1.345000	0.022661	0.025433
1.350000	0.023830	0.029455
1.355000	0.023875	0.033764
1.360000	0.022545	0.038355
1.365000	0.019625	0.043227
1.370000	0.014949	0.048376
1.375000	0.008416	0.053800
1.380000	-0.000000	0.059494
1.385000	-0.010239	0.065456
1.390000	-0.022151	0.071681
1.395000	-0.035487	0.078166
1.400000	-0.049908	0.084908
1.405000	-0.064984	0.091902
1.410000	-0.080208	0.099143
1.415000	-0.095006	0.106628
1.420000	-0.108754	0.114351
1.425000	-0.120803	0.122309
1.430000	-0.130496	0.130496
1.435000	-0.137197	0.138907
1.440000	-0.140316	0.147537
1.445000	-0.139337	0.156382
1.450000	-0.133839	0.165435
1.455000	-0.123525	0.174691
1.460000	-0.108237	0.184144
1.465000	-0.087979	0.193790
1.470000	-0.062922	0.203621
1.475000	-0.033420	0.213632
1.480000	0.000000	0.223818
1.485000	0.036632	0.234170
1.490000	0.075612	0.244684
1.495000	0.115928	0.255354
1.500000	0.156452	0.266171
1.505000	0.195961	0.277131
1.510000	0.233180	0.288226
1.515000	0.266811	0.299449
1.520000	0.295583	0.310794
1.525000	0.318287	0.322255
1.530000	0.333823	0.333823
1.535000	0.341238	0.345491
1.540000	0.339769	0.357254
1.545000	0.328874	0.369104
1.550000	0.308262	0.381032
1.555000	0.277917	0.393033
1.560000	0.238111	0.405099
1.565000	0.189415	0.417223
1.570000	0.132691	0.429397
1.575000	0.069084	0.441614
1.580000	-0.000000	0.453866
1.585000	-0.072921	0.466146
1.590000	-0.147848	0.478447
1.595000	-0.222801	0.490761
1.600000	-0.295703	0.503080
1.605000	-0.364441	0.515398
1.610000	-0.426923	0.527706
1.615000	-0.481141	0.539997
1.620000	-0.525235	0.552264
1.625000	-0.557550	0.564500
1.630000	-0.576696	0.576696
1.635000	-0.581596	0.588845
1.640000	-0.571529	0.600941
1.645000	-0.546165	0.612976
1.650000	-0.505588	0.624941
1.655000	-0.450308	0.636832
1.660000	-0.381260	0.648638
1.665000	-0.299795	0.660355
1.670000	-0.207652	0.671974
1.675000	-0.106921	0.683489
1.680000	0.000000	0.694893
1.685000	0.110471	0.706178
1.690000	0.221670	0.717338
1.695000	0.330671	0.728366
1.700000	0.434523	0.739256
1.705000	0.530330	0.750000
1.710000	0.615332	0.760592
1.715000	0.686990	0.771027
1.720000	0.743057	0.781296
1.725000	0.781652	0.791395
1.730000	0.801317	0.801317
1.735000	0.801071	0.811056
1.740000	0.780443	0.820607
1.745000	0.739502	0.829962
1.750000	0.678860	0.839118
1.755000	0.599674	0.848067
1.760000	0.503618	0.856805
1.765000	0.392850	0.865327
1.770000	0.269965	0.873626
1.775000	0.137928	0.881699
1.780000	0.000000	0.889540
1.785000	-0.140344	0.897145
1.790000	-0.279508	0.904508
1.795000	-0.413869	0.911626
1.800000	-0.539877	0.918495
1.805000	-0.654150	0.925109
1.810000	-0.753570	0.931464
1.815000	-0.835371	0.937558
1.820000	-0.897214	0.943387
1.825000	-0.937263	0.948946
1.830000	-0.954233	0.954233
1.835000	-0.947434	0.959243
1.840000	-0.916795	0.963976
1.845000	-0.862874	0.968426
1.850000	-0.786844	0.972592
1.855000	-0.690470	0.976471
1.860000	-0.576066	0.980061
1.865000	-0.446436	0.983359
1.870000	-0.304804	0.986364
1.875000	-0.154724	0.989074
1.880000	0.000001	0.991487
1.885000	0.155434	0.993601
1.890000	0.307601	0.995416
1.895000	0.452597	0.996930
1.900000	0.586693	0.998142
1.905000	0.706436	0.999052
1.910000	0.808741	0.999659
1.915000	0.890973	0.999962
1.920000	0.951020	0.999962
1.925000	0.987351	0.999659
1.930000	0.999052	0.999052
1.935000	0.985853	0.998142
1.940000	0.948136	0.996930
1.945000	0.886922	0.995416
1.950000	0.803840	0.993601
1.955000	0.701087	0.991487
1.960000	0.581363	0.989074
1.965000	0.447800	0.986364
1.970000	0.303875	0.983359
1.975000	0.153315	0.980061
1.980000	0.000000	0.976471
1.985000	-0.152146	0.972592
1.990000	-0.299259	0.968426
1.995000	-0.437635	0.963976
2.000000	-0.563830	0.959243
2.005000	-0.674745	0.954233
2.010000	-0.767714	0.948946
2.015000	-0.840564	0.943387
2.020000	-0.891671	0.937558
2.025000	-0.919997	0.931464
2.030000	-0.925109	0.925109
2.035000	-0.907186	0.918495
2.040000	-0.867008	0.911626
2.045000	-0.805923	0.904508
2.050000	-0.725806	0.897145
2.055000	-0.629000	0.889540
2.060000	-0.518250	0.881699
2.065000	-0.396617	0.873626
2.070000	-0.267400	0.865327
2.075000	-0.134033	0.856805
2.080000	0.000000	0.848067
2.085000	0.131267	0.839118
2.090000	0.256472	0.829962
2.095000	0.372548	0.820607
2.100000	0.476727	0.811056
2.105000	0.566617	0.801317
2.110000	0.640252	0.791395
2.115000	0.696140	0.781296
2.120000	0.733290	0.771027
2.125000	0.751228	0.760592
2.130000	0.750000	0.750000
2.135000	0.730154	0.739256
2.140000	0.692717	0.728366
2.145000	0.639153	0.717338
2.150000	0.571310	0.706178
2.155000	0.491363	0.694893
2.160000	0.401745	0.683489
2.165000	0.305070	0.671974
2.170000	0.204061	0.660355
2.175000	0.101470	0.648638
2.180000	0.000000	0.636832
2.185000	-0.097762	0.624941
