# Frequency(Hz)	Magnitude
0.000000	0.001897
0.666667	0.001893
1.333333	0.001936
2.000000	0.002026
2.666667	0.002101
3.333333	0.002224
4.000000	0.002399
4.666667	0.002546
5.333333	0.002768
6.000000	0.003073
6.666667	0.003311
7.333333	0.003652
8.000000	0.004148
8.666667	0.004514
9.333333	0.005125
10.000000	0.006164
10.666667	0.006797
11.333333	0.007955
12.000000	0.011118
12.666667	0.013086
13.333333	0.014949
14.000000	0.111361
14.666667	0.274700
15.333333	0.275154
16.000000	0.109059
16.666666	0.012723
17.333334	0.008665
18.000000	0.009186
18.666666	0.010433
19.333334	0.011923
20.000000	0.013654
20.666666	0.015105
21.333334	0.015416
22.000000	0.014626
22.666666	0.013256
23.333334	0.011525
24.000000	0.009679
24.666666	0.008234
25.333334	0.007342
26.000000	0.006762
26.666666	0.006347
27.333334	0.005959
28.000000	0.005528
28.666666	0.005165
29.333334	0.004905
30.000000	0.004681
30.666666	0.004482
31.333334	0.004291
32.000000	0.004092
32.666668	0.003931
33.333332	0.003802
34.000000	0.003674
34.666668	0.003555
35.333332	0.003440
36.000000	0.003328
36.666668	0.003237
37.333332	0.003156
38.000000	0.003071
38.666668	0.002992
39.333332	0.002917
40.000000	0.002846
40.666668	0.002786
41.333332	0.002729
42.000000	0.002668
42.666668	0.002612
43.333332	0.002561
44.000000	0.002512
44.666668	0.002469
45.333332	0.002424
46.000000	0.002379
46.666668	0.002339
47.333332	0.002302
48.000000	0.002266
48.666668	0.002232
49.333332	0.002197
50.000000	0.002164
50.666668	0.002135
51.333332	0.002106
52.000000	0.002077
52.666668	0.002050
53.333332	0.002023
54.000000	0.001998
54.666668	0.001975
55.333332	0.001952
56.000000	0.001929
56.666668	0.001907
57.333332	0.001886
58.000000	0.001867
58.666668	0.001848
59.333332	0.001829
60.000000	0.001811
60.666668	0.001794
61.333332	0.001777
62.000000	0.001761
62.666668	0.001744
63.333332	0.001729
64.000000	0.001716
64.666664	0.001702
65.333336	0.001688
66.000000	0.001675
66.666664	0.001663
67.333336	0.001650
68.000000	0.001638
68.666664	0.001627
69.333336	0.001616
70.000000	0.001605
70.666664	0.001596
71.333336	0.001585
72.000000	0.001575
72.666664	0.001566
73.333336	0.001557
74.000000	0.001549
74.666664	0.001540
75.333336	0.001532
76.000000	0.001525
76.666664	0.001517
77.333336	0.001510
78.000000	0.001503
78.666664	0.001496
79.333336	0.001490
80.000000	0.001484
80.666664	0.001477
81.333336	0.001471
82.000000	0.001467
82.666664	0.001461
83.333336	0.001456
84.000000	0.001452
84.666664	0.001447
85.333336	0.001443
86.000000	0.001439
86.666664	0.001435
87.333336	0.001431
88.000000	0.001427
88.666664	0.001425
89.333336	0.001422
90.000000	0.001418
90.666664	0.001416
91.333336	0.001413
92.000000	0.001411
92.666664	0.001409
93.333336	0.001407
94.000000	0.001405
94.666664	0.001404
95.333336	0.001403
96.000000	0.001401
96.666664	0.001401
97.333336	0.001400
98.000000	0.001399
98.666664	0.001398
99.333336	0.001398
