# Frequency(Hz)	Magnitude
0.000000	0.010801
0.666667	0.011768
1.333333	0.012236
2.000000	0.014656
2.666667	0.021066
3.333333	0.023089
4.000000	0.120224
4.666667	0.256317
5.333333	0.262744
6.000000	0.129381
6.666667	0.033903
7.333333	0.036062
8.000000	0.035112
8.666667	0.035746
9.333333	0.037027
10.000000	0.035737
10.666667	0.032384
11.333333	0.027862
12.000000	0.022369
12.666667	0.016881
13.333333	0.012583
14.000000	0.009793
14.666667	0.008345
15.333333	0.007596
16.000000	0.006853
16.666666	0.006127
17.333334	0.005567
18.000000	0.005149
18.666666	0.004854
19.333334	0.004572
20.000000	0.004269
20.666666	0.004031
21.333334	0.003843
22.000000	0.003674
22.666666	0.003521
23.333334	0.003361
24.000000	0.003221
24.666666	0.003113
25.333334	0.003006
26.000000	0.002904
26.666666	0.002808
27.333334	0.002715
28.000000	0.002640
28.666666	0.002570
29.333334	0.002495
30.000000	0.002428
30.666666	0.002366
31.333334	0.002308
32.000000	0.002257
32.666668	0.002203
33.333332	0.002152
34.000000	0.002107
34.666668	0.002063
35.333332	0.002022
36.000000	0.001983
36.666668	0.001942
37.333332	0.001907
38.000000	0.001874
38.666668	0.001840
39.333332	0.001809
40.000000	0.001778
40.666668	0.001749
41.333332	0.001722
42.000000	0.001696
42.666668	0.001669
43.333332	0.001645
44.000000	0.001621
44.666668	0.001599
45.333332	0.001578
46.000000	0.001555
46.666668	0.001535
47.333332	0.001516
48.000000	0.001497
48.666668	0.001479
49.333332	0.001461
50.000000	0.001444
50.666668	0.001428
51.333332	0.001413
52.000000	0.001397
52.666668	0.001382
53.333332	0.001368
54.000000	0.001354
54.666668	0.001341
55.333332	0.001328
56.000000	0.001315
56.666668	0.001303
57.333332	0.001291
58.000000	0.001280
58.666668	0.001269
59.333332	0.001258
60.000000	0.001248
60.666668	0.001238
61.333332	0.001228
62.000000	0.001218
62.666668	0.001209
63.333332	0.001200
64.000000	0.001192
64.666664	0.001183
65.333336	0.001175
66.000000	0.001167
66.666664	0.001160
67.333336	0.001153
68.000000	0.001146
68.666664	0.001138
69.333336	0.001132
70.000000	0.001125
70.666664	0.001119
71.333336	0.001113
72.000000	0.001107
72.666664	0.001101
73.333336	0.001096
74.000000	0.001091
74.666664	0.001085
75.333336	0.001080
76.000000	0.001076
76.666664	0.001071
77.333336	0.001067
78.000000	0.001062
78.666664	0.001058
79.333336	0.001054
80.000000	0.001050
80.666664	0.001047
81.333336	0.001043
82.000000	0.001040
82.666664	0.001036
83.333336	0.001033
84.000000	0.001030
84.666664	0.001027
85.333336	0.001025
86.000000	0.001022
86.666664	0.001020
87.333336	0.001017
88.000000	0.001015
88.666664	0.001013
89.333336	0.001011
90.000000	0.001009
90.666664	0.001008
91.333336	0.001006
92.000000	0.001005
92.666664	0.001003
93.333336	0.001002
94.000000	0.001001
94.666664	0.001000
95.333336	0.000999
96.000000	0.000998
96.666664	0.000998
97.333336	0.000997
98.000000	0.000997
98.666664	0.000996
99.333336	0.000996
