# Frequency(Hz)	Magnitude
0.000000	0.000049
0.666667	0.000043
1.333333	0.000035
2.000000	0.000061
2.666667	0.000112
3.333333	0.000168
4.000000	0.000206
4.666667	0.000194
5.333333	0.000079
6.000000	0.000246
6.666667	0.000989
7.333333	0.002688
8.000000	0.007142
8.666667	0.025547
9.333333	0.195283
10.000000	0.318750
10.666667	0.195283
11.333333	0.025547
12.000000	0.007142
12.666667	0.002688
13.333333	0.000989
14.000000	0.000246
14.666667	0.000078
15.333333	0.000194
16.000000	0.000205
16.666666	0.000168
17.333334	0.000112
18.000000	0.000057
18.666666	0.000012
19.333334	0.000019
20.000000	0.000035
20.666666	0.000039
21.333334	0.000033
22.000000	0.000023
22.666666	0.000011
23.333334	0.000001
24.000000	0.000008
24.666666	0.000013
25.333334	0.000013
26.000000	0.000012
26.666666	0.000007
27.333334	0.000003
28.000000	0.000002
28.666666	0.000005
29.333334	0.000006
30.000000	0.000006
30.666666	0.000005
31.333334	0.000003
32.000000	0.000001
32.666668	0.000001
33.333332	0.000003
34.000000	0.000003
34.666668	0.000003
35.333332	0.000002
36.000000	0.000001
36.666668	0.000001
37.333332	0.000001
38.000000	0.000001
38.666668	0.000002
39.333332	0.000002
40.000000	0.000001
40.666668	0.000001
41.333332	0.000001
42.000000	0.000001
42.666668	0.000001
43.333332	0.000001
44.000000	0.000001
44.666668	0.000001
45.333332	0.000000
46.000000	0.000000
46.666668	0.000001
47.333332	0.000001
48.000000	0.000001
48.666668	0.000001
49.333332	0.000001
50.000000	0.000000
50.666668	0.000000
51.333332	0.000001
52.000000	0.000001
52.666668	0.000001
53.333332	0.000000
54.000000	0.000000
54.666668	0.000000
55.333332	0.000000
56.000000	0.000000
56.666668	0.000000
57.333332	0.000001
58.000000	0.000001
58.666668	0.000000
59.333332	0.000000
60.000000	0.000000
60.666668	0.000001
61.333332	0.000000
62.000000	0.000000
62.666668	0.000000
63.333332	0.000000
64.000000	0.000000
64.666664	0.000000
65.333336	0.000000
66.000000	0.000000
66.666664	0.000000
67.333336	0.000000
68.000000	0.000000
68.666664	0.000000
69.333336	0.000000
70.000000	0.000000
70.666664	0.000000
71.333336	0.000000
72.000000	0.000000
72.666664	0.000000
73.333336	0.000000
74.000000	0.000000
74.666664	0.000000
75.333336	0.000000
76.000000	0.000000
76.666664	0.000000
77.333336	0.000000
78.000000	0.000000
78.666664	0.000000
79.333336	0.000000
80.000000	0.000000
80.666664	0.000000
81.333336	0.000000
82.000000	0.000000
82.666664	0.000000
83.333336	0.000000
84.000000	0.000000
84.666664	0.000000
85.333336	0.000000
86.000000	0.000000
86.666664	0.000001
87.333336	0.000000
88.000000	0.000000
88.666664	0.000000
89.333336	0.000000
90.000000	0.000000
90.666664	0.000000
91.333336	0.000000
92.000000	0.000000
92.666664	0.000000
93.333336	0.000001
94.000000	0.000000
94.666664	0.000000
95.333336	0.000000
96.000000	0.000000
96.666664	0.000000
97.333336	0.000000
98.000000	0.000000
98.666664	0.000000
99.333336	0.000000
