# Time(sec)	Signal	Window
7.425000	0.297438	0.333823
7.430000	0.322255	0.322255
7.435000	0.276917	0.310794
7.440000	0.176015	0.299449
7.445000	0.045089	0.288226
7.450000	-0.085640	0.277131
7.455000	-0.188215	0.266171
7.460000	-0.242854	0.255354
7.465000	-0.241672	0.244684
7.470000	-0.189447	0.234170
7.475000	-0.101608	0.223818
7.480000	-0.000004	0.213632
7.485000	0.092441	0.203621
7.490000	0.156780	0.193790
7.495000	0.181878	0.184144
7.500000	0.166142	0.174691
7.505000	0.116981	0.165435
7.510000	0.048324	0.156382
7.515000	-0.023082	0.147537
7.520000	-0.081645	0.138907
7.525000	-0.116272	0.130496
7.530000	-0.122309	0.122309
7.535000	-0.101887	0.114351
7.540000	-0.062672	0.106628
7.545000	-0.015511	0.099143
7.550000	0.028399	0.091902
7.555000	0.060040	0.084908
7.560000	0.074341	0.078166
7.565000	0.070799	0.071681
7.570000	0.052955	0.065456
7.575000	0.027009	0.059494
7.580000	-0.000001	0.053800
7.585000	-0.021962	0.048376
7.590000	-0.034971	0.043227
7.595000	-0.037883	0.038355
7.600000	-0.032111	0.033764
7.605000	-0.020828	0.029455
7.610000	-0.007859	0.025433
7.615000	0.003394	0.021698
7.620000	0.010729	0.018253
7.625000	0.013455	0.015102
7.630000	0.012244	0.012244
7.635000	0.008627	0.009683
7.640000	0.004361	0.007419
7.645000	0.000853	0.005454
7.650000	-0.001171	0.003790
7.655000	-0.001716	0.002427
7.660000	-0.001299	0.001365
7.665000	-0.000600	0.000607
7.670000	-0.000123	0.000152
7.675000	-0.000000	0.000000
