# Frequency(Hz)	Magnitude
0.000000	0.000004
0.666667	0.000004
1.333333	0.000003
2.000000	0.000001
2.666667	0.000002
3.333333	0.000005
4.000000	0.000009
4.666667	0.000011
5.333333	0.000011
6.000000	0.000007
6.666667	0.000000
7.333333	0.000010
8.000000	0.000021
8.666667	0.000032
9.333333	0.000037
10.000000	0.000034
10.666667	0.000018
11.333333	0.000012
12.000000	0.000056
12.666667	0.000111
13.333333	0.000166
14.000000	0.000204
14.666667	0.000193
15.333333	0.000077
16.000000	0.000246
16.666666	0.000989
17.333334	0.002687
18.000000	0.007141
18.666666	0.025547
19.333334	0.195284
20.000000	0.318751
20.666666	0.195283
21.333334	0.025548
22.000000	0.007142
22.666666	0.002688
23.333334	0.000990
24.000000	0.000246
24.666666	0.000078
25.333334	0.000194
26.000000	0.000206
26.666666	0.000169
27.333334	0.000110
28.000000	0.000060
28.666666	0.000009
29.333334	0.000018
30.000000	0.000035
30.666666	0.000039
31.333334	0.000034
32.000000	0.000023
32.666668	0.000011
33.333332	0.000000
34.000000	0.000008
34.666668	0.000013
35.333332	0.000014
36.000000	0.000012
36.666668	0.000007
37.333332	0.000003
38.000000	0.000001
38.666668	0.000005
39.333332	0.000006
40.000000	0.000006
40.666668	0.000005
41.333332	0.000003
42.000000	0.000000
42.666668	0.000001
43.333332	0.000002
44.000000	0.000004
44.666668	0.000004
45.333332	0.000003
46.000000	0.000001
46.666668	0.000000
47.333332	0.000001
48.000000	0.000002
48.666668	0.000002
49.333332	0.000002
50.000000	0.000001
50.666668	0.000001
51.333332	0.000000
52.000000	0.000001
52.666668	0.000001
53.333332	0.000001
54.000000	0.000001
54.666668	0.000001
55.333332	0.000000
56.000000	0.000000
56.666668	0.000001
57.333332	0.000001
58.000000	0.000001
58.666668	0.000001
59.333332	0.000000
60.000000	0.000000
60.666668	0.000000
61.333332	0.000001
62.000000	0.000001
62.666668	0.000001
63.333332	0.000000
64.000000	0.000000
64.666664	0.000000
65.333336	0.000001
66.000000	0.000000
66.666664	0.000000
67.333336	0.000002
68.000000	0.000002
68.666664	0.000002
69.333336	0.000001
70.000000	0.000001
70.666664	0.000000
71.333336	0.000000
72.000000	0.000001
72.666664	0.000000
73.333336	0.000000
74.000000	0.000000
74.666664	0.000000
75.333336	0.000002
76.000000	0.000002
76.666664	0.000002
77.333336	0.000000
78.000000	0.000000
78.666664	0.000000
79.333336	0.000000
80.000000	0.000000
80.666664	0.000000
81.333336	0.000000
82.000000	0.000000
82.666664	0.000000
83.333336	0.000001
84.000000	0.000001
84.666664	0.000001
85.333336	0.000000
86.000000	0.000000
86.666664	0.000000
87.333336	0.000000
88.000000	0.000000
88.666664	0.000000
89.333336	0.000000
90.000000	0.000000
90.666664	0.000000
91.333336	0.000000
92.000000	0.000000
92.666664	0.000000
93.333336	0.000000
94.000000	0.000000
94.666664	0.000000
95.333336	0.000000
96.000000	0.000000
96.666664	0.000000
97.333336	0.000000
98.000000	0.000000
98.666664	0.000000
99.333336	0.000000
