# Time(sec)	Signal	Window
8.320000	-0.000000	0.000000
8.325000	-0.000089	0.000152
8.330000	0.000000	0.000607
8.335000	0.000803	0.001365
8.340000	0.002308	0.002427
8.345000	0.003604	0.003790
8.350000	0.003206	0.005454
8.355000	0.000000	0.007419
8.360000	-0.005691	0.009683
8.365000	-0.011645	0.012244
8.370000	-0.014362	0.015102
8.375000	-0.010729	0.018253
8.380000	-0.000000	0.021698
8.385000	0.014949	0.025433
8.390000	0.028014	0.029455
8.395000	0.032112	0.033764
8.400000	0.022545	0.038355
8.405000	0.000000	0.043227
8.410000	-0.028435	0.048376
8.415000	-0.051167	0.053800
8.420000	-0.056582	0.059494
8.425000	-0.038474	0.065456
8.430000	0.000001	0.071681
8.435000	0.045947	0.078166
8.440000	0.080752	0.084908
8.445000	0.087404	0.091902
8.450000	0.058274	0.099143
8.455000	-0.000003	0.106628
8.460000	-0.067212	0.114351
8.465000	-0.116322	0.122309
8.470000	-0.124108	0.130496
8.475000	-0.081645	0.138907
8.480000	-0.000004	0.147537
8.485000	0.091918	0.156382
8.490000	0.157338	0.165435
8.495000	0.166140	0.174691
8.500000	0.108241	0.184144
8.505000	0.000002	0.193790
8.510000	-0.119686	0.203621
8.515000	-0.203178	0.213632
8.520000	-0.212865	0.223818
8.525000	-0.137645	0.234170
8.530000	-0.000000	0.244684
8.535000	0.150096	0.255354
8.540000	0.253146	0.266171
8.545000	0.263569	0.277131
8.550000	0.169415	0.288226
8.555000	-0.000004	0.299449
8.560000	-0.182687	0.310794
8.565000	-0.306480	0.322255
8.570000	-0.317485	0.333823
8.575000	-0.203072	0.345491
8.580000	0.000009	0.357254
8.585000	0.216947	0.369104
8.590000	0.362383	0.381032
8.595000	0.373796	0.393033
8.600000	0.238104	0.405099
8.605000	0.000010	0.417223
8.610000	-0.252390	0.429397
8.615000	-0.420000	0.441614
8.620000	-0.431649	0.453866
8.625000	-0.274004	0.466146
8.630000	-0.000006	0.478447
8.635000	0.288463	0.490761
8.640000	0.478460	0.503080
8.645000	0.490177	0.515398
8.650000	0.310184	0.527706
8.655000	-0.000000	0.539997
8.660000	-0.324619	0.552264
8.665000	-0.536876	0.564500
8.670000	-0.548473	0.576696
8.675000	-0.346116	0.588845
8.680000	0.000007	0.600941
8.685000	0.360311	0.612976
8.690000	0.594351	0.624941
8.695000	0.605664	0.636832
8.700000	0.381255	0.648638
8.705000	-0.000016	0.660355
8.710000	-0.394965	0.671974
8.715000	-0.650036	0.683489
8.720000	-0.660881	0.694893
8.725000	-0.415069	0.706178
8.730000	-0.000017	0.717338
8.735000	0.428117	0.728366
8.740000	0.703075	0.739256
8.745000	0.713288	0.750000
8.750000	0.447081	0.760592
8.755000	0.000009	0.771027
8.760000	-0.459236	0.781296
8.765000	-0.752666	0.791395
8.770000	-0.762105	0.801317
8.775000	-0.476736	0.811056
8.780000	-0.000000	0.820607
8.785000	0.487849	0.829962
8.790000	0.798056	0.839118
8.795000	0.806564	0.848067
8.800000	0.503619	0.856805
8.805000	-0.000010	0.865327
8.810000	-0.513523	0.873626
8.815000	-0.838540	0.881699
8.820000	-0.846004	0.889540
8.825000	-0.527322	0.897145
8.830000	0.000022	0.904508
8.835000	0.535825	0.911626
8.840000	0.873538	0.918495
8.845000	0.879828	0.925109
8.850000	0.547485	0.931464
8.855000	0.000022	0.937558
8.860000	-0.554502	0.943387
8.865000	-0.902503	0.948946
8.870000	-0.907524	0.954233
8.875000	-0.563850	0.959243
8.880000	-0.000012	0.963976
8.885000	0.569228	0.968426
8.890000	0.924995	0.972592
8.895000	0.928688	0.976471
8.900000	0.576077	0.980061
8.905000	-0.000000	0.983359
8.910000	-0.579782	0.986364
8.915000	-0.940674	0.989074
8.920000	-0.942965	0.991487
8.925000	-0.584026	0.993601
8.930000	0.000012	0.995416
8.935000	0.586002	0.996930
8.940000	0.949283	0.998142
8.945000	0.950156	0.999052
8.950000	0.587577	0.999659
8.955000	-0.000024	0.999962
8.960000	-0.587745	0.999962
8.965000	-0.950729	0.999659
8.970000	-0.950152	0.999052
8.975000	-0.586676	0.998142
8.980000	-0.000024	0.996930
