# Time(sec)	Signal	Window
7.680000	0.000000	0.000000
7.685000	0.000069	0.000152
7.690000	0.000491	0.000607
7.695000	0.001349	0.001365
7.700000	0.002308	0.002427
7.705000	0.002680	0.003790
7.710000	0.001686	0.005454
7.715000	-0.001161	0.007419
7.720000	-0.005691	0.009683
7.725000	-0.010910	0.012244
7.730000	-0.015102	0.015102
7.735000	-0.016264	0.018253
7.740000	-0.012754	0.021698
7.745000	-0.003978	0.025433
7.750000	0.009102	0.029455
7.755000	0.023874	0.033764
7.760000	0.036478	0.038355
7.765000	0.042695	0.043227
7.770000	0.039138	0.048376
7.775000	0.024425	0.053800
7.780000	0.000000	0.059494
7.785000	-0.029717	0.065456
7.790000	-0.057992	0.071681
7.795000	-0.077204	0.078166
7.800000	-0.080752	0.084908
7.805000	-0.064984	0.091902
7.810000	-0.030635	0.099143
7.815000	0.016679	0.106628
7.820000	0.067214	0.114351
7.825000	0.108978	0.122309
7.830000	0.130496	0.130496
7.835000	0.123768	0.138907
7.840000	0.086721	0.147537
7.845000	0.024463	0.156382
7.850000	-0.051125	0.165435
7.855000	-0.123523	0.174691
7.860000	-0.175131	0.184144
7.865000	-0.191404	0.193790
7.870000	-0.164731	0.203621
7.875000	-0.096991	0.213632
7.880000	-0.000002	0.223818
7.885000	0.106311	0.234170
7.890000	0.197956	0.244684
7.895000	0.252209	0.255354
7.900000	0.253145	0.266171
7.905000	0.195961	0.277131
7.910000	0.089064	0.288226
7.915000	-0.046851	0.299449
7.920000	-0.182677	0.310794
7.925000	-0.287131	0.322255
7.930000	-0.333823	0.333823
7.935000	-0.307832	0.345491
7.940000	-0.209993	0.357254
7.945000	-0.057742	0.369104
7.950000	0.117748	0.381032
7.955000	0.277922	0.393033
7.960000	0.385270	0.405099
7.965000	0.412087	0.417223
7.970000	0.347388	0.429397
7.975000	0.200482	0.441614
7.980000	0.000008	0.453866
7.985000	-0.211623	0.466146
7.990000	-0.387073	0.478447
7.995000	-0.484720	0.490761
8.000000	-0.478461	0.503080
8.005000	-0.364444	0.515398
8.010000	-0.163069	0.527706
8.015000	0.084481	0.539997
8.020000	0.324603	0.552264
8.025000	0.502970	0.564500
8.030000	-0.000000	0.576696
8.035000	0.346122	0.588845
8.040000	0.571534	0.600941
8.045000	0.582978	0.612976
8.050000	0.367333	0.624941
8.055000	-0.000008	0.636832
8.060000	-0.381274	0.648638
8.065000	-0.628031	0.660355
8.070000	-0.639087	0.671974
8.075000	-0.401740	0.683489
8.080000	0.000017	0.694893
8.085000	0.415069	0.706178
8.090000	0.682228	0.717338
8.095000	0.692716	0.728366
8.100000	0.434511	0.739256
8.105000	0.000018	0.750000
8.110000	-0.447059	0.760592
8.115000	-0.733291	0.771027
8.120000	-0.743052	0.781296
8.125000	-0.465187	0.791395
8.130000	-0.000010	0.801317
8.135000	0.476729	0.811056
8.140000	0.780448	0.820607
8.145000	0.789348	0.829962
8.150000	0.493231	0.839118
8.155000	0.000000	0.848067
8.160000	-0.503627	0.856805
8.165000	-0.822982	0.865327
8.170000	-0.830873	0.873626
8.175000	-0.518251	0.881699
8.180000	0.000011	0.889540
8.185000	0.527348	0.897145
8.190000	0.860233	0.904508
8.195000	0.867010	0.911626
8.200000	0.539870	0.918495
8.205000	-0.000022	0.925109
8.210000	-0.547485	0.931464
8.215000	-0.891669	0.937558
8.220000	-0.897212	0.943387
8.225000	-0.557760	0.948946
8.230000	-0.000023	0.954233
8.235000	0.563822	0.959243
8.240000	0.916797	0.963976
8.245000	0.921022	0.968426
8.250000	0.571696	0.972592
8.255000	0.000012	0.976471
8.260000	-0.576067	0.980061
8.265000	-0.935235	0.983359
8.270000	-0.938097	0.986364
8.275000	-0.581374	0.989074
8.280000	-0.000000	0.991487
8.285000	0.584036	0.993601
8.290000	0.946705	0.995416
8.295000	0.948142	0.996930
8.300000	0.586695	0.998142
8.305000	-0.000012	0.999052
8.310000	-0.587606	0.999659
8.315000	-0.951014	0.999962
8.320000	-0.951022	0.999962
8.325000	-0.587577	0.999659
8.330000	0.000024	0.999052
8.335000	0.586676	0.998142
8.340000	0.948134	0.996930
8.345000	0.946694	0.995416
8.350000	0.584007	0.993601
8.355000	0.000024	0.991487
8.360000	-0.581355	0.989074
8.365000	-0.938089	0.986364
8.370000	-0.935224	0.983359
8.375000	-0.576086	0.980061
8.380000	-0.000012	0.976471
8.385000	0.571677	0.972592
8.390000	0.921033	0.968426
8.395000	0.916804	0.963976
8.400000	0.563840	0.959243
8.405000	0.000000	0.954233
8.410000	-0.557787	0.948946
8.415000	-0.897223	0.943387
8.420000	-0.891676	0.937558
8.425000	-0.547503	0.931464
8.430000	0.000011	0.925109
8.435000	0.539897	0.918495
8.440000	0.867003	0.911626
8.445000	0.860240	0.904508
8.450000	0.527322	0.897145
8.455000	-0.000021	0.889540
8.460000	-0.518234	0.881699
8.465000	-0.830866	0.873626
8.470000	-0.822973	0.865327
8.475000	-0.503602	0.856805
8.480000	-0.000020	0.848067
8.485000	0.493214	0.839118
8.490000	0.789342	0.829962
8.495000	0.780438	0.820607
8.500000	0.476744	0.811056
8.505000	0.000010	0.801317
8.510000	-0.465172	0.791395
8.515000	-0.743061	0.781296
8.520000	-0.733297	0.771027
8.525000	-0.447074	0.760592
8.530000	-0.000000	0.750000
8.535000	0.434532	0.739256
8.540000	0.692724	0.728366
8.545000	0.682233	0.717338
8.550000	0.415083	0.706178
8.555000	-0.000008	0.694893
