# Time(sec)	Signal	Window
7.040000	0.000000	0.000000
7.045000	0.000024	0.000152
7.050000	-0.000188	0.000607
7.055000	-0.000966	0.001365
7.060000	-0.002308	0.002427
7.065000	-0.003743	0.003790
7.070000	-0.004413	0.005454
7.075000	-0.003368	0.007419
7.080000	0.000000	0.009683
7.085000	0.005558	0.012244
7.090000	0.012217	0.015102
7.095000	0.018029	0.018253
7.100000	0.020636	0.021698
7.105000	0.017984	0.025433
7.110000	0.009102	0.029455
7.115000	-0.005282	0.033764
7.120000	-0.022545	0.038355
7.125000	-0.038515	0.043227
7.130000	-0.048376	0.048376
7.135000	-0.047936	0.053800
7.140000	-0.034969	0.059494
7.145000	-0.010241	0.065456
7.150000	0.022150	0.071681
7.155000	0.055272	0.078166
7.160000	0.080753	0.084908
7.165000	0.090770	0.091902
7.170000	0.080209	0.099143
7.175000	0.048408	0.106628
7.180000	-0.000001	0.114351
7.185000	-0.055529	0.122309
7.190000	-0.105572	0.130496
7.195000	-0.137197	0.138907
7.200000	-0.140316	0.147537
7.205000	-0.110577	0.156382
7.210000	-0.051125	0.165435
7.215000	0.027327	0.174691
7.220000	0.108238	0.184144
7.225000	0.172669	0.193790
7.230000	0.203621	0.203621
7.235000	0.190349	0.213632
7.240000	0.131556	0.223818
7.245000	0.036629	0.234170
7.250000	-0.075607	0.244684
7.255000	-0.180561	0.255354
7.260000	-0.253144	0.266171
7.265000	-0.273718	0.277131
7.270000	-0.233183	0.288226
7.275000	-0.135950	0.299449
7.280000	-0.000000	0.310794
7.285000	0.146304	0.322255
7.290000	0.270072	0.333823
7.295000	0.341237	0.345491
7.300000	0.339769	0.357254
7.305000	0.260993	0.369104
7.310000	0.117738	0.381032
7.315000	-0.061478	0.393033
7.320000	-0.238110	0.405099
7.325000	-0.371750	0.417223
7.330000	-0.429397	0.429397
7.335000	-0.393484	0.441614
7.340000	-0.266778	0.453866
7.345000	-0.072919	0.466146
7.350000	0.147856	0.478447
7.355000	0.347014	0.490761
7.360000	0.478456	0.503080
7.365000	0.509052	0.515398
7.370000	0.426918	0.527706
7.375000	0.245163	0.539997
7.380000	0.000005	0.552264
7.385000	-0.256278	0.564500
7.390000	-0.466561	0.576696
7.395000	-0.581594	0.588845
7.400000	-0.571531	0.600941
7.405000	-0.433439	0.612976
7.410000	-0.193111	0.624941
7.415000	0.099636	0.636832
7.420000	0.381253	0.648638
7.425000	0.588380	0.660355
7.430000	0.671974	0.671974
7.435000	0.608987	0.683489
7.440000	0.408456	0.694893
7.445000	0.110473	0.706178
7.450000	-0.221675	0.717338
7.455000	-0.515042	0.728366
7.460000	-0.703070	0.739256
7.465000	-0.740767	0.750000
7.470000	-0.615330	0.760592
7.475000	-0.350028	0.771027
7.480000	-0.000014	0.781296
7.485000	0.359281	0.791395
7.490000	0.648281	0.801317
7.495000	0.801073	0.811056
7.500000	0.780448	0.820607
7.505000	0.586877	0.829962
7.510000	0.259300	0.839118
7.515000	-0.132677	0.848067
7.520000	-0.503602	0.856805
7.525000	-0.771007	0.865327
7.530000	-0.873626	0.873626
7.535000	-0.785595	0.881699
7.540000	-0.522843	0.889540
7.545000	-0.140356	0.897145
7.550000	0.279507	0.904508
7.555000	0.644623	0.911626
7.560000	0.873546	0.918495
7.565000	0.913721	0.925109
7.570000	0.753573	0.931464
7.575000	0.425637	0.937558
7.580000	-0.000017	0.943387
7.585000	-0.430799	0.948946
7.590000	-0.771987	0.954233
7.595000	-0.947434	0.959243
7.600000	-0.916790	0.963976
7.605000	-0.684793	0.968426
7.610000	-0.300554	0.972592
7.615000	0.152757	0.976471
7.620000	0.576077	0.980061
7.625000	0.876171	0.983359
7.630000	0.986364	0.986364
7.635000	0.881270	0.989074
7.640000	0.582771	0.991487
7.645000	0.155455	0.993601
7.650000	-0.307590	0.995416
7.655000	-0.704936	0.996930
7.660000	-0.949293	0.998142
7.665000	-0.986748	0.999052
7.670000	-0.808748	0.999659
7.675000	-0.453975	0.999962
7.680000	0.000009	0.999962
7.685000	0.453853	0.999659
7.690000	0.808241	0.999052
7.695000	0.985852	0.998142
7.700000	0.948134	0.996930
7.705000	0.703852	0.995416
7.710000	0.307055	0.993601
7.715000	-0.155097	0.991487
7.720000	-0.581367	0.989074
7.725000	-0.878864	0.986364
7.730000	-0.983359	0.983359
7.735000	-0.873244	0.980061
7.740000	-0.573952	0.976471
7.745000	-0.152133	0.972592
7.750000	0.299242	0.968426
7.755000	0.681628	0.963976
7.760000	0.912295	0.959243
7.765000	0.942483	0.954233
7.770000	0.767725	0.948946
7.775000	0.428298	0.943387
7.780000	0.000000	0.937558
7.785000	-0.422885	0.931464
7.790000	-0.748440	0.925109
7.795000	-0.907185	0.918495
7.800000	-0.867009	0.911626
7.805000	-0.639578	0.904508
7.810000	-0.277216	0.897145
7.815000	0.139142	0.889540
7.820000	0.518247	0.881699
7.825000	0.778410	0.873626
7.830000	0.865327	0.865327
7.835000	0.763425	0.856805
7.840000	0.498485	0.848067
7.845000	0.131262	0.839118
7.850000	-0.256485	0.829962
7.855000	-0.580246	0.820607
7.860000	-0.771359	0.811056
7.865000	-0.791451	0.801317
7.870000	-0.640246	0.791395
7.875000	-0.354715	0.781296
7.880000	-0.000007	0.771027
7.885000	0.345303	0.760592
7.890000	0.606768	0.750000
7.895000	0.730152	0.739256
7.900000	0.692720	0.728366
7.905000	0.507235	0.717338
7.910000	0.218214	0.706178
7.915000	-0.108720	0.694893
7.920000	-0.401738	0.683489
7.925000	-0.598733	0.671974
