# Time(sec)	Signal	Window
5.760000	-0.000000	0.000000
5.765000	-0.000123	0.000152
5.770000	-0.000357	0.000607
5.775000	-0.000422	0.001365
5.780000	0.000000	0.002427
5.785000	-0.001721	0.003790
5.790000	-0.004413	0.005454
5.795000	-0.007328	0.007419
5.800000	-0.009209	0.009683
5.805000	-0.008658	0.012244
5.810000	-0.004666	0.015102
5.815000	0.002855	0.018253
5.820000	0.012754	0.021698
5.825000	0.022661	0.025433
5.830000	0.029455	0.029455
5.835000	0.030084	0.033764
5.840000	0.022545	0.038355
5.845000	0.006762	0.043227
5.850000	-0.014950	0.048376
5.855000	-0.038041	0.053800
5.860000	-0.056582	0.059494
5.865000	-0.064650	0.065456
5.870000	-0.057991	0.071681
5.875000	-0.035488	0.078166
5.880000	-0.000001	0.084908
5.885000	0.041723	0.091902
5.890000	0.080209	0.099143
5.895000	0.105314	0.106628
5.900000	0.108755	0.114351
5.905000	0.086485	0.122309
5.910000	0.040324	0.130496
5.915000	-0.021733	0.138907
5.920000	-0.086719	0.147537
5.925000	-0.139337	0.156382
5.930000	-0.165435	0.165435
5.935000	-0.155649	0.174691
5.940000	-0.108240	0.184144
5.945000	-0.030316	0.193790
5.950000	0.062924	0.203621
5.955000	0.151064	0.213632
5.960000	0.212862	0.223818
5.965000	0.231287	0.234170
5.970000	0.197953	0.244684
5.975000	0.115924	0.255354
5.980000	0.000005	0.266171
5.985000	-0.125813	0.277131
5.990000	-0.233180	0.288226
5.995000	-0.295763	0.299449
6.000000	-0.295585	0.310794
6.005000	-0.227870	0.322255
6.010000	-0.103156	0.333823
6.015000	0.054051	0.345491
6.020000	0.209983	0.357254
6.025000	0.328872	0.369104
6.030000	0.381032	0.381032
6.035000	0.350193	0.393033
6.040000	0.238104	0.405099
6.045000	0.065273	0.417223
6.050000	-0.132690	0.429397
6.055000	-0.312271	0.441614
6.060000	-0.431655	0.453866
6.065000	-0.460408	0.466146
6.070000	-0.387073	0.478447
6.075000	-0.222797	0.490761
6.080000	0.000009	0.503080
6.085000	0.233978	0.515398
6.090000	0.426921	0.527706
6.095000	0.533349	0.539997
6.100000	0.525232	0.552264
6.105000	0.399169	0.564500
6.110000	0.178213	0.576696
6.115000	-0.092118	0.588845
6.120000	-0.353231	0.600941
6.125000	-0.546160	0.612976
6.130000	-0.624941	0.624941
6.135000	-0.567421	0.636832
6.140000	-0.381253	0.648638
6.145000	-0.103316	0.660355
6.150000	0.207645	0.671974
6.155000	0.483300	0.683489
6.160000	0.660885	0.694893
6.165000	0.697482	0.706178
6.170000	0.580344	0.717338
6.175000	0.330673	0.728366
6.180000	-0.000007	0.739256
6.185000	-0.340506	0.750000
6.190000	-0.615326	0.760592
6.195000	-0.761534	0.771027
6.200000	-0.743055	0.781296
6.205000	-0.559591	0.791395
6.210000	-0.247633	0.801317
6.215000	0.126873	0.811056
6.220000	0.482344	0.820607
6.225000	0.739508	0.829962
6.230000	0.839118	0.839118
6.235000	0.755636	0.848067
6.240000	0.503615	0.856805
6.245000	0.135355	0.865327
6.250000	-0.269949	0.873626
6.255000	-0.623450	0.881699
6.260000	-0.846004	0.889540
6.265000	-0.886098	0.897145
6.270000	-0.731774	0.904508
6.275000	-0.413879	0.911626
6.280000	-0.000000	0.918495
6.285000	0.419999	0.925109
6.290000	0.753582	0.931464
6.295000	0.926014	0.937558
6.300000	0.897215	0.943387
6.305000	0.671000	0.948946
6.310000	0.294856	0.954233
6.315000	-0.150045	0.959243
6.320000	-0.566608	0.963976
6.325000	-0.862877	0.968426
6.330000	-0.972592	0.972592
6.335000	-0.870049	0.976471
6.340000	-0.576070	0.980061
6.345000	-0.153826	0.983359
6.350000	0.304818	0.986364
6.355000	0.699368	0.989074
6.360000	0.942958	0.991487
6.365000	0.981367	0.993601
6.370000	0.805300	0.995416
6.375000	0.452614	0.996930
6.380000	0.000009	0.998142
6.385000	-0.453562	0.999052
6.390000	-0.808748	0.999659
6.395000	-0.987647	0.999962
6.400000	-0.951024	0.999962
6.405000	-0.706865	0.999659
6.410000	-0.308714	0.999052
6.415000	0.156165	0.998142
6.420000	0.585970	0.996930
6.425000	0.886921	0.995416
6.430000	0.993601	0.993601
6.435000	0.883412	0.991487
6.440000	0.581374	0.989074
6.445000	0.154305	0.986364
6.450000	-0.303881	0.983359
6.455000	-0.693020	0.980061
6.460000	-0.928674	0.976471
6.465000	-0.960619	0.972592
6.470000	-0.783470	0.968426
6.475000	-0.437622	0.963976
6.480000	-0.000017	0.959243
6.485000	0.433206	0.954233
6.490000	0.767715	0.948946
6.495000	0.931774	0.943387
6.500000	0.891677	0.937558
6.505000	0.658651	0.931464
6.510000	0.285873	0.925109
6.515000	-0.143696	0.918495
6.520000	-0.535825	0.911626
6.525000	-0.805919	0.904508
6.530000	-0.897145	0.897145
6.535000	-0.792582	0.889540
6.540000	-0.518234	0.881699
6.545000	-0.136676	0.873626
6.550000	0.267399	0.865327
6.555000	0.605858	0.856805
6.560000	0.806565	0.848067
6.565000	0.828789	0.839118
6.570000	0.671455	0.829962
6.575000	0.372542	0.820607
6.580000	-0.000015	0.811056
6.585000	-0.363779	0.801317
6.590000	-0.640250	0.791395
6.595000	-0.771678	0.781296
6.600000	-0.733286	0.771027
6.605000	-0.537830	0.760592
6.610000	-0.231768	0.750000
6.615000	0.115648	0.739256
6.620000	0.428131	0.728366
6.625000	0.639147	0.717338
6.630000	0.706178	0.706178
6.635000	0.619154	0.694893
6.640000	0.401738	0.683489
6.645000	0.105134	0.671974
6.650000	-0.204054	0.660355
6.655000	-0.458657	0.648638
