# Frequency(Hz)	Magnitude
0.000000	0.032348
0.666667	0.032681
1.333333	0.034673
2.000000	0.039614
2.666667	0.044524
3.333333	0.070424
4.000000	0.120205
4.666667	0.155656
5.333333	0.149545
6.000000	0.105781
6.666667	0.054164
7.333333	0.027712
8.000000	0.022244
8.666667	0.016220
9.333333	0.013181
10.000000	0.010969
10.666667	0.009043
11.333333	0.007951
12.000000	0.006751
12.666667	0.006028
13.333333	0.005305
14.000000	0.004739
14.666667	0.004297
15.333333	0.003850
16.000000	0.003547
16.666666	0.003214
17.333334	0.002972
18.000000	0.002738
18.666666	0.002529
19.333334	0.002363
20.000000	0.002186
20.666666	0.002057
21.333334	0.001918
22.000000	0.001805
22.666666	0.001700
23.333334	0.001599
24.000000	0.001518
24.666666	0.001430
25.333334	0.001362
26.000000	0.001291
26.666666	0.001229
27.333334	0.001173
28.000000	0.001116
28.666666	0.001070
29.333334	0.001020
30.000000	0.000980
30.666666	0.000939
31.333334	0.000901
32.000000	0.000867
32.666668	0.000832
33.333332	0.000804
34.000000	0.000773
34.666668	0.000747
35.333332	0.000721
36.000000	0.000696
36.666668	0.000675
37.333332	0.000651
38.000000	0.000632
38.666668	0.000612
39.333332	0.000594
40.000000	0.000577
40.666668	0.000559
41.333332	0.000545
42.000000	0.000529
42.666668	0.000516
43.333332	0.000502
44.000000	0.000489
44.666668	0.000477
45.333332	0.000464
46.000000	0.000454
46.666668	0.000443
47.333332	0.000433
48.000000	0.000423
48.666668	0.000413
49.333332	0.000405
50.000000	0.000396
50.666668	0.000388
51.333332	0.000380
52.000000	0.000372
52.666668	0.000365
53.333332	0.000358
54.000000	0.000352
54.666668	0.000345
55.333332	0.000339
56.000000	0.000333
56.666668	0.000327
57.333332	0.000322
58.000000	0.000316
58.666668	0.000311
59.333332	0.000306
60.000000	0.000302
60.666668	0.000297
61.333332	0.000293
62.000000	0.000289
62.666668	0.000284
63.333332	0.000281
64.000000	0.000277
64.666664	0.000273
65.333336	0.000270
66.000000	0.000266
66.666664	0.000263
67.333336	0.000260
68.000000	0.000257
68.666664	0.000254
69.333336	0.000251
70.000000	0.000248
70.666664	0.000246
71.333336	0.000243
72.000000	0.000241
72.666664	0.000238
73.333336	0.000236
74.000000	0.000234
74.666664	0.000232
75.333336	0.000230
76.000000	0.000228
76.666664	0.000226
77.333336	0.000224
78.000000	0.000222
78.666664	0.000221
79.333336	0.000219
80.000000	0.000218
80.666664	0.000216
81.333336	0.000215
82.000000	0.000214
82.666664	0.000212
83.333336	0.000211
84.000000	0.000210
84.666664	0.000209
85.333336	0.000208
86.000000	0.000207
86.666664	0.000206
87.333336	0.000205
88.000000	0.000204
88.666664	0.000203
89.333336	0.000202
90.000000	0.000202
90.666664	0.000201
91.333336	0.000200
92.000000	0.000200
92.666664	0.000199
93.333336	0.000199
94.000000	0.000199
94.666664	0.000198
95.333336	0.000198
96.000000	0.000198
96.666664	0.000197
97.333336	0.000197
98.000000	0.000197
98.666664	0.000197
99.333336	0.000197
