# Frequency(Hz)	Magnitude
0.000000	0.000008
0.666667	0.000013
1.333333	0.000019
2.000000	0.000022
2.666667	0.000021
3.333333	0.000013
4.000000	0.000006
4.666667	0.000024
5.333333	0.000046
6.000000	0.000067
6.666667	0.000079
7.333333	0.000070
8.000000	0.000034
8.666667	0.000046
9.333333	0.000178
10.000000	0.000371
10.666667	0.000620
11.333333	0.000887
12.000000	0.001016
12.666667	0.000341
13.333333	0.005197
14.000000	0.096721
14.666667	0.283309
15.333333	0.283309
16.000000	0.096721
16.666666	0.005198
17.333334	0.000341
18.000000	0.001017
18.666666	0.000887
19.333334	0.000620
20.000000	0.000371
20.666666	0.000178
21.333334	0.000046
22.000000	0.000033
22.666666	0.000072
23.333334	0.000078
24.000000	0.000068
24.666666	0.000047
25.333334	0.000023
26.000000	0.000003
26.666666	0.000012
27.333334	0.000020
28.000000	0.000022
28.666666	0.000019
29.333334	0.000013
30.000000	0.000006
30.666666	0.000001
31.333334	0.000006
32.000000	0.000008
32.666668	0.000010
33.333332	0.000006
34.000000	0.000005
34.666668	0.000002
35.333332	0.000001
36.000000	0.000003
36.666668	0.000004
37.333332	0.000004
38.000000	0.000004
38.666668	0.000002
39.333332	0.000000
40.000000	0.000001
40.666668	0.000002
41.333332	0.000003
42.000000	0.000002
42.666668	0.000002
43.333332	0.000001
44.000000	0.000000
44.666668	0.000001
45.333332	0.000001
46.000000	0.000002
46.666668	0.000001
47.333332	0.000001
48.000000	0.000000
48.666668	0.000000
49.333332	0.000001
50.000000	0.000001
50.666668	0.000001
51.333332	0.000001
52.000000	0.000001
52.666668	0.000000
53.333332	0.000000
54.000000	0.000001
54.666668	0.000001
55.333332	0.000001
56.000000	0.000001
56.666668	0.000000
57.333332	0.000000
58.000000	0.000000
58.666668	0.000000
59.333332	0.000001
60.000000	0.000001
60.666668	0.000000
61.333332	0.000000
62.000000	0.000001
62.666668	0.000002
63.333332	0.000002
64.000000	0.000001
64.666664	0.000000
65.333336	0.000000
66.000000	0.000000
66.666664	0.000000
67.333336	0.000000
68.000000	0.000000
68.666664	0.000000
69.333336	0.000000
70.000000	0.000000
70.666664	0.000001
71.333336	0.000001
72.000000	0.000000
72.666664	0.000000
73.333336	0.000001
74.000000	0.000000
74.666664	0.000000
75.333336	0.000000
76.000000	0.000000
76.666664	0.000000
77.333336	0.000000
78.000000	0.000000
78.666664	0.000000
79.333336	0.000000
80.000000	0.000000
80.666664	0.000001
81.333336	0.000001
82.000000	0.000000
82.666664	0.000000
83.333336	0.000000
84.000000	0.000000
84.666664	0.000000
85.333336	0.000000
86.000000	0.000000
86.666664	0.000000
87.333336	0.000000
88.000000	0.000000
88.666664	0.000001
89.333336	0.000001
90.000000	0.000000
90.666664	0.000000
91.333336	0.000000
92.000000	0.000000
92.666664	0.000000
93.333336	0.000000
94.000000	0.000000
94.666664	0.000000
95.333336	0.000000
96.000000	0.000000
96.666664	0.000000
97.333336	0.000000
98.000000	0.000000
98.666664	0.000000
99.333336	0.000000
