# Time(sec)	Signal	Window
1.920000	0.000000	0.000000
1.925000	0.000150	0.000152
1.930000	0.000607	0.000607
1.935000	0.001349	0.001365
1.940000	0.002308	0.002427
1.945000	0.003377	0.003790
1.950000	0.004413	0.005454
1.955000	0.005246	0.007419
1.960000	0.005691	0.009683
1.965000	0.005559	0.012244
1.970000	0.004667	0.015102
1.975000	0.002855	0.018253
1.980000	0.000000	0.021698
1.985000	-0.003979	0.025433
1.990000	-0.009102	0.029455
1.995000	-0.015328	0.033764
2.000000	-0.022545	0.038355
2.005000	-0.030566	0.043227
2.010000	-0.039137	0.048376
2.015000	-0.047936	0.053800
2.020000	-0.056582	0.059494
2.025000	-0.064650	0.065456
2.030000	-0.071681	0.071681
2.035000	-0.077204	0.078166
2.040000	-0.080752	0.084908
2.045000	-0.081885	0.091902
2.050000	-0.080208	0.099143
2.055000	-0.075397	0.106628
2.060000	-0.067214	0.114351
2.065000	-0.055527	0.122309
2.070000	-0.040325	0.130496
2.075000	-0.021730	0.138907
2.080000	0.000000	0.147537
2.085000	0.024464	0.156382
2.090000	0.051122	0.165435
2.095000	0.079308	0.174691
2.100000	0.108237	0.184144
2.105000	0.137030	0.193790
2.110000	0.164733	0.203621
2.115000	0.190348	0.213632
2.120000	0.212863	0.223818
2.125000	0.231287	0.234170
2.130000	0.244684	0.244684
2.135000	0.252210	0.255354
2.140000	0.253144	0.266171
2.145000	0.246925	0.277131
2.150000	0.233179	0.288226
2.155000	0.211743	0.299449
2.160000	0.182680	0.310794
2.165000	0.146301	0.322255
2.170000	0.103157	0.333823
2.175000	0.054047	0.345491
2.180000	0.000000	0.357254
2.185000	-0.057740	0.369104
2.190000	-0.117746	0.381032
2.195000	-0.178434	0.393033
2.200000	-0.238112	0.405099
2.205000	-0.295021	0.417223
2.210000	-0.347389	0.429397
2.215000	-0.393481	0.441614
2.220000	-0.431652	0.453866
2.225000	-0.460407	0.466146
2.230000	-0.478447	0.478447
2.235000	-0.484719	0.490761
2.240000	-0.478458	0.503080
2.245000	-0.459223	0.515398
2.250000	-0.426923	0.527706
2.255000	-0.381835	0.539997
2.260000	-0.324612	0.552264
2.265000	-0.256277	0.564500
2.270000	-0.178209	0.576696
2.275000	-0.092116	0.588845
2.280000	-0.000000	0.600941
2.285000	0.095890	0.612976
2.290000	0.193117	0.624941
2.295000	0.289115	0.636832
2.300000	0.381260	0.648638
2.305000	0.466941	0.660355
2.310000	0.543638	0.671974
2.315000	0.608993	0.683489
2.320000	0.660882	0.694893
2.325000	0.697484	0.706178
2.330000	0.717338	0.717338
2.335000	0.719399	0.728366
2.340000	0.703074	0.739256
2.345000	0.668254	0.750000
2.350000	0.615332	0.760592
2.355000	0.545197	0.771027
2.360000	0.459234	0.781296
2.365000	0.359285	0.791395
2.370000	0.247620	0.801317
2.375000	0.126876	0.811056
2.380000	-0.000001	0.820607
2.385000	-0.129835	0.829962
2.390000	-0.259302	0.839118
2.395000	-0.385015	0.848067
2.400000	-0.503617	0.856805
2.405000	-0.611878	0.865327
2.410000	-0.706778	0.873626
