# Time(sec)	Signal	Window
3.840000	-0.000000	0.000000
3.845000	-0.000123	0.000152
3.850000	-0.000577	0.000607
3.855000	-0.001365	0.001365
3.860000	-0.002308	0.002427
3.865000	-0.003066	0.003790
3.870000	-0.003206	0.005454
3.875000	-0.002293	0.007419
3.880000	-0.000000	0.009683
3.885000	0.003784	0.012244
3.890000	0.008876	0.015102
3.895000	0.014767	0.018253
3.900000	0.020636	0.021698
3.905000	0.025433	0.025433
3.910000	0.028014	0.029455
3.915000	0.027316	0.033764
3.920000	0.022545	0.038355
3.925000	0.013358	0.043227
3.930000	-0.000000	0.048376
3.935000	-0.016625	0.053800
3.940000	-0.034970	0.059494
3.945000	-0.052955	0.065456
3.950000	-0.068173	0.071681
3.955000	-0.078166	0.078166
3.960000	-0.080752	0.084908
3.965000	-0.074350	0.091902
3.970000	-0.058274	0.099143
3.975000	-0.032950	0.106628
3.980000	0.000000	0.114351
3.985000	0.037795	0.122309
3.990000	0.076704	0.130496
3.995000	0.112378	0.138907
4.000000	0.140316	0.147537
4.005000	0.156382	0.156382
4.010000	0.157338	0.165435
4.015000	0.141329	0.174691
4.020000	0.108237	0.184144
4.025000	0.059886	0.193790
4.030000	-0.000000	0.203621
4.035000	-0.066018	0.213632
4.040000	-0.131557	0.223818
4.045000	-0.189449	0.234170
4.050000	-0.232709	0.244684
4.055000	-0.255354	0.255354
4.060000	-0.253144	0.266171
4.065000	-0.224203	0.277131
4.070000	-0.169415	0.288226
4.075000	-0.092534	0.299449
4.080000	-0.000001	0.310794
4.085000	0.099583	0.322255
4.090000	0.196215	0.333823
4.095000	0.279509	0.345491
4.100000	0.339768	0.357254
4.105000	0.369104	0.369104
4.110000	0.362384	0.381032
4.115000	0.317970	0.393033
4.120000	0.238113	0.405099
4.125000	0.128928	0.417223
4.130000	0.000003	0.429397
4.135000	-0.136467	0.441614
4.140000	-0.266773	0.453866
4.145000	-0.377120	0.466146
4.150000	-0.455029	0.478447
4.155000	-0.490761	0.490761
4.160000	-0.478456	0.503080
4.165000	-0.416966	0.515398
4.170000	-0.310175	0.527706
4.175000	-0.166869	0.539997
4.180000	0.000003	0.552264
4.185000	0.174439	0.564500
4.190000	0.338976	0.576696
4.195000	0.476385	0.588845
4.200000	0.571530	0.600941
4.205000	0.612976	0.612976
4.210000	0.594354	0.624941
4.215000	0.515209	0.636832
4.220000	0.381258	0.648638
4.225000	0.204064	0.660355
4.230000	-0.000002	0.671974
4.235000	-0.211207	0.683489
4.240000	-0.408449	0.694893
4.245000	-0.571308	0.706178
4.250000	-0.682230	0.717338
4.255000	-0.728366	0.728366
4.260000	-0.703074	0.739256
4.265000	-0.606766	0.750000
4.270000	-0.447065	0.760592
4.275000	-0.238266	0.771027
4.280000	-0.000000	0.781296
4.285000	0.244560	0.791395
4.290000	0.471002	0.801317
4.295000	0.656162	0.811056
4.300000	0.780443	0.820607
4.305000	0.829962	0.829962
4.310000	0.798049	0.839118
4.315000	0.686098	0.848067
4.320000	0.503619	0.856805
4.325000	0.267397	0.865327
4.330000	0.000003	0.873626
4.335000	-0.272464	0.881699
4.340000	-0.522856	0.889540
4.345000	-0.725807	0.897145
4.350000	-0.860238	0.904508
4.355000	-0.911626	0.911626
4.360000	-0.873542	0.918495
4.365000	-0.748427	0.925109
4.370000	-0.547505	0.931464
4.375000	-0.289720	0.937558
4.380000	-0.000006	0.943387
4.385000	0.293242	0.948946
4.390000	0.560879	0.954233
4.395000	0.776045	0.959243
4.400000	0.916793	0.963976
4.405000	0.968426	0.968426
4.410000	0.924988	0.972592
4.415000	0.789982	0.976471
4.420000	0.576060	0.980061
4.425000	0.303876	0.983359
4.430000	-0.000006	0.986364
4.435000	-0.305639	0.989074
4.440000	-0.582785	0.991487
4.445000	-0.803839	0.993601
4.450000	-0.946698	0.995416
4.455000	-0.996930	0.996930
4.460000	-0.949288	0.998142
4.465000	-0.808252	0.999052
4.470000	-0.587582	0.999659
4.475000	-0.309009	0.999962
4.480000	0.000003	0.999962
4.485000	0.308907	0.999659
4.490000	0.587230	0.999052
4.495000	0.807511	0.998142
4.500000	0.948137	0.996930
4.505000	0.995416	0.995416
4.510000	0.944970	0.993601
4.515000	0.802133	0.991487
4.520000	0.581363	0.989074
4.525000	0.304810	0.986364
4.530000	0.000000	0.983359
4.535000	-0.302862	0.980061
4.540000	-0.573955	0.976471
4.545000	-0.786847	0.972592
4.550000	-0.921027	0.968426
4.555000	-0.963976	0.963976
4.560000	-0.912295	0.959243
4.565000	-0.771987	0.954233
4.570000	-0.557778	0.948946
4.575000	-0.291518	0.943387
4.580000	-0.000003	0.937558
4.585000	0.287842	0.931464
4.590000	0.543762	0.925109
4.595000	0.743080	0.918495
4.600000	0.867007	0.911626
4.605000	0.904508	0.904508
4.610000	0.853237	0.897145
4.615000	0.719652	0.889540
4.620000	0.518254	0.881699
4.625000	0.269964	0.873626
4.630000	0.000005	0.865327
4.635000	-0.264768	0.856805
4.640000	-0.498477	0.848067
4.645000	-0.678861	0.839118
4.650000	-0.789339	0.829962
4.655000	-0.820607	0.820607
4.660000	-0.771359	0.811056
4.665000	-0.648280	0.801317
4.670000	-0.465166	0.791395
4.675000	-0.241435	0.781296
4.680000	0.000005	0.771027
4.685000	0.235035	0.760592
4.690000	0.440842	0.750000
4.695000	0.598069	0.739256
4.700000	0.692719	0.728366
4.705000	0.717338	0.717338
4.710000	0.671614	0.706178
4.715000	0.562182	0.694893
4.720000	0.401743	0.683489
4.725000	0.207654	0.671974
4.730000	-0.000002	0.660355
4.735000	-0.200437	0.648638
4.740000	-0.374321	0.636832
4.745000	-0.505586	0.624941
4.750000	-0.582975	0.612976
4.755000	-0.600941	0.600941
4.760000	-0.560025	0.588845
4.765000	-0.466559	0.576696
4.770000	-0.331804	0.564500
4.775000	-0.170663	0.552264
4.780000	-0.000000	0.539997
4.785000	0.163074	0.527706
4.790000	0.302943	0.515398
4.795000	0.407002	0.503080
4.800000	0.466741	0.490761
4.805000	0.478447	0.478447
4.810000	0.443331	0.466146
4.815000	0.367184	0.453866
4.820000	0.259575	0.441614
4.825000	0.132689	0.429397
4.830000	0.000001	0.417223
4.835000	-0.125184	0.405099
4.840000	-0.231018	0.393033
4.845000	-0.308262	0.381032
4.850000	-0.351038	0.369104
4.855000	-0.357254	0.357254
4.860000	-0.328582	0.345491
4.865000	-0.270068	0.333823
4.870000	-0.189418	0.322255
4.875000	-0.096040	0.310794
4.880000	-0.000002	0.299449
4.885000	0.089067	0.288226
4.890000	0.162892	0.277131
4.895000	0.215337	0.266171
4.900000	0.242855	0.255354
4.905000	0.244684	0.244684
4.910000	0.222709	0.234170
4.915000	0.181072	0.223818
4.920000	0.125569	0.213632
4.925000	0.062923	0.203621
4.930000	-0.000001	0.193790
4.935000	-0.056903	0.184144
4.940000	-0.102681	0.174691
4.945000	-0.133839	0.165435
4.950000	-0.148728	0.156382
4.955000	-0.147537	0.147537
4.960000	-0.132108	0.138907
4.965000	-0.105573	0.130496
4.970000	-0.071891	0.122309
4.975000	-0.035337	0.114351
4.980000	0.000000	0.106628
4.985000	0.030636	0.099143
4.990000	0.054019	0.091902
4.995000	0.068692	0.084908
5.000000	0.074341	0.078166
5.005000	0.071681	0.071681
5.010000	0.062252	0.065456
5.015000	0.048132	0.059494
5.020000	0.031623	0.053800
5.025000	0.014949	0.048376
5.030000	0.000000	0.043227
5.035000	-0.011853	0.038355
5.040000	-0.019846	0.033764
5.045000	-0.023830	0.029455
5.050000	-0.024188	0.025433
5.055000	-0.021698	0.021698
5.060000	-0.017360	0.018253
5.065000	-0.012217	0.015102
5.070000	-0.007197	0.012244
