# Frequency(Hz)	Magnitude
0.000000	0.000482
0.666667	0.000618
1.333333	0.000881
2.000000	0.001023
2.666667	0.000359
3.333333	0.005185
4.000000	0.096711
4.666667	0.283316
5.333333	0.283305
6.000000	0.096722
6.666667	0.005195
7.333333	0.000345
8.000000	0.001020
8.666667	0.000890
9.333333	0.000622
10.000000	0.000372
10.666667	0.000178
11.333333	0.000045
12.000000	0.000036
12.666667	0.000073
13.333333	0.000080
14.000000	0.000068
14.666667	0.000047
15.333333	0.000023
16.000000	0.000004
16.666666	0.000013
17.333334	0.000021
18.000000	0.000023
18.666666	0.000019
19.333334	0.000013
20.000000	0.000005
20.666666	0.000003
21.333334	0.000007
22.000000	0.000009
22.666666	0.000009
23.333334	0.000008
24.000000	0.000005
24.666666	0.000002
25.333334	0.000002
26.000000	0.000004
26.666666	0.000005
27.333334	0.000005
28.000000	0.000004
28.666666	0.000002
29.333334	0.000001
30.000000	0.000002
30.666666	0.000003
31.333334	0.000003
32.000000	0.000003
32.666668	0.000002
33.333332	0.000001
34.000000	0.000001
34.666668	0.000001
35.333332	0.000002
36.000000	0.000002
36.666668	0.000001
37.333332	0.000001
38.000000	0.000000
38.666668	0.000001
39.333332	0.000001
40.000000	0.000001
40.666668	0.000001
41.333332	0.000001
42.000000	0.000000
42.666668	0.000000
43.333332	0.000001
44.000000	0.000001
44.666668	0.000001
45.333332	0.000001
46.000000	0.000001
46.666668	0.000000
47.333332	0.000000
48.000000	0.000000
48.666668	0.000001
49.333332	0.000001
50.000000	0.000001
50.666668	0.000000
51.333332	0.000000
52.000000	0.000000
52.666668	0.000000
53.333332	0.000000
54.000000	0.000000
54.666668	0.000000
55.333332	0.000000
56.000000	0.000000
56.666668	0.000000
57.333332	0.000000
58.000000	0.000000
58.666668	0.000000
59.333332	0.000000
60.000000	0.000000
60.666668	0.000000
61.333332	0.000000
62.000000	0.000000
62.666668	0.000000
63.333332	0.000000
64.000000	0.000000
64.666664	0.000000
65.333336	0.000000
66.000000	0.000000
66.666664	0.000000
67.333336	0.000000
68.000000	0.000000
68.666664	0.000000
69.333336	0.000000
70.000000	0.000000
70.666664	0.000000
71.333336	0.000000
72.000000	0.000000
72.666664	0.000000
73.333336	0.000000
74.000000	0.000000
74.666664	0.000000
75.333336	0.000000
76.000000	0.000000
76.666664	0.000000
77.333336	0.000000
78.000000	0.000000
78.666664	0.000000
79.333336	0.000000
80.000000	0.000000
80.666664	0.000000
81.333336	0.000000
82.000000	0.000000
82.666664	0.000000
83.333336	0.000000
84.000000	0.000000
84.666664	0.000000
85.333336	0.000000
86.000000	0.000000
86.666664	0.000000
87.333336	0.000000
88.000000	0.000000
88.666664	0.000000
89.333336	0.000000
90.000000	0.000000
90.666664	0.000000
91.333336	0.000000
92.000000	0.000000
92.666664	0.000000
93.333336	0.000000
94.000000	0.000000
94.666664	0.000000
95.333336	0.000000
96.000000	0.000000
96.666664	0.000000
97.333336	0.000000
98.000000	0.000000
98.666664	0.000000
99.333336	0.000000
