# Time(sec)	Signal	Window
5.120000	0.000000	0.000000
5.125000	0.000047	0.000152
5.130000	0.000000	0.000607
5.135000	-0.000422	0.001365
5.140000	-0.001426	0.002427
5.145000	-0.003066	0.003790
5.150000	-0.005187	0.005454
5.155000	-0.007419	0.007419
5.160000	-0.009209	0.009683
5.165000	-0.009906	0.012244
5.170000	-0.008876	0.015102
5.175000	-0.005641	0.018253
5.180000	0.000000	0.021698
5.185000	0.007859	0.025433
5.190000	0.017314	0.029455
5.195000	0.027316	0.033764
5.200000	0.036478	0.038355
5.205000	0.043227	0.043227
5.210000	0.046009	0.048376
5.215000	0.043525	0.053800
5.220000	0.034969	0.059494
5.225000	0.020227	0.065456
5.230000	-0.000000	0.071681
5.235000	-0.024154	0.078166
5.240000	-0.049908	0.084908
5.245000	-0.074350	0.091902
5.250000	-0.094291	0.099143
5.255000	-0.106628	0.106628
5.260000	-0.108754	0.114351
5.265000	-0.098950	0.122309
5.270000	-0.076703	0.130496
5.275000	-0.042926	0.138907
5.280000	-0.000000	0.147537
5.285000	0.048326	0.156382
5.290000	0.097242	0.165435
5.295000	0.141327	0.174691
5.300000	0.175132	0.184144
5.305000	0.193790	0.193790
5.310000	0.193654	0.203621
5.315000	0.172833	0.213632
5.320000	0.131557	0.223818
5.325000	0.072362	0.234170
5.330000	-0.000003	0.244684
5.335000	-0.078906	0.255354
5.340000	-0.156451	0.266171
5.345000	-0.224204	0.277131
5.350000	-0.274120	0.288226
5.355000	-0.299449	0.299449
5.360000	-0.295584	0.310794
5.365000	-0.260709	0.322255
5.370000	-0.196213	0.333823
5.375000	-0.106767	0.345491
5.380000	-0.000002	0.357254
5.385000	0.114060	0.369104
5.390000	0.223968	0.381032
5.395000	0.317967	0.393033
5.400000	0.385272	0.405099
5.405000	0.417223	0.417223
5.410000	0.408380	0.429397
5.415000	0.357269	0.441614
5.420000	0.266779	0.453866
5.425000	0.144048	0.466146
5.430000	-0.000003	0.478447
5.435000	-0.151659	0.490761
5.440000	-0.295699	0.503080
5.445000	-0.416965	0.515398
5.450000	-0.501879	0.527706
5.455000	-0.539997	0.539997
5.460000	-0.525236	0.552264
5.465000	-0.456691	0.564500
5.470000	-0.338972	0.576696
5.475000	-0.181957	0.588845
5.480000	-0.000007	0.600941
5.485000	0.189417	0.612976
5.490000	0.367333	0.624941
5.495000	0.515211	0.636832
5.500000	0.616889	0.648638
5.505000	0.660355	0.660355
5.510000	0.639085	0.671974
5.515000	0.552951	0.683489
5.520000	0.408456	0.694893
5.525000	0.218226	0.706178
5.530000	0.000000	0.717338
5.535000	-0.225083	0.728366
5.540000	-0.434532	0.739256
5.545000	-0.606759	0.750000
5.550000	-0.723366	0.760592
5.555000	-0.771027	0.771027
5.560000	-0.743054	0.781296
5.565000	-0.640257	0.791395
5.570000	-0.471004	0.801317
5.575000	-0.250627	0.811056
5.580000	0.000010	0.820607
5.585000	0.256464	0.829962
5.590000	0.493218	0.839118
5.595000	0.686102	0.848067
5.600000	0.814873	0.856805
5.605000	0.865327	0.865327
5.610000	0.830869	0.873626
5.615000	0.713308	0.881699
5.620000	0.522852	0.889540
5.625000	0.277244	0.897145
5.630000	0.000005	0.904508
5.635000	-0.281709	0.911626
5.640000	-0.539884	0.918495
5.645000	-0.748421	0.925109
5.650000	-0.885873	0.931464
5.655000	-0.937558	0.937558
5.660000	-0.897212	0.943387
5.665000	-0.767705	0.948946
5.670000	-0.560890	0.954233
5.675000	-0.296424	0.959243
5.680000	0.000006	0.963976
5.685000	0.299272	0.968426
5.690000	0.571668	0.972592
5.695000	0.789980	0.976471
5.700000	0.932095	0.980061
5.705000	0.983359	0.983359
5.710000	0.938091	0.986364
5.715000	0.800180	0.989074
5.720000	0.582778	0.991487
5.725000	0.307029	0.993601
5.730000	0.000012	0.995416
5.735000	-0.308064	0.996930
5.740000	-0.586695	0.998142
5.745000	-0.808255	0.999052
5.750000	-0.950728	0.999659
5.755000	-0.999962	0.999962
5.760000	-0.951020	0.999962
5.765000	-0.808736	0.999659
5.770000	-0.587239	0.999052
5.775000	-0.308450	0.998142
5.780000	0.000000	0.996930
5.785000	-0.451919	0.995416
5.790000	-0.803853	0.993601
5.795000	-0.979278	0.991487
5.800000	-0.940666	0.989074
5.805000	-0.697459	0.986364
5.810000	-0.303856	0.983359
5.815000	0.153301	0.980061
5.820000	0.573952	0.976471
5.825000	0.866589	0.972592
5.830000	0.968426	0.968426
5.835000	0.858916	0.963976
5.840000	0.563833	0.959243
5.845000	0.149270	0.954233
5.850000	-0.293255	0.948946
5.855000	-0.667063	0.943387
5.860000	-0.891669	0.937558
5.865000	-0.919996	0.931464
5.870000	-0.748421	0.925109
5.875000	-0.417004	0.918495
5.880000	-0.000008	0.911626
5.885000	0.410640	0.904508
5.890000	0.725812	0.897145
5.895000	0.878586	0.889540
5.900000	0.838549	0.881699
5.905000	0.617747	0.873626
5.910000	0.267392	0.865327
5.915000	-0.134052	0.856805
5.920000	-0.498473	0.848067
5.925000	-0.747659	0.839118
5.930000	-0.829962	0.829962
5.935000	-0.731158	0.820607
5.940000	-0.476736	0.811056
5.945000	-0.125356	0.801317
5.950000	0.244560	0.791395
5.955000	0.552470	0.781296
5.960000	0.733286	0.771027
5.965000	0.751229	0.760592
5.970000	0.606760	0.750000
5.975000	0.335604	0.739256
5.980000	0.000013	0.728366
