codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 360, 384000, 30,                        60, 2, -3, 2073600, 50, 1, 46, 0, 44, 0, 36, 0 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
11091, 40, 502.664277, 10576,    39.747672, 491.854983, 12.273778, 70.976587,  0.941420,  2.686722,  -1.000000
10771, 40, 517.239514, 9800,    39.629167, 478.172635, 12.233086, 70.201113,  0.943827,  2.682074,  -1.000000
10797, 40, 515.101245, 10200,    39.679044, 483.884382, 12.033383, 67.930816,  0.940031,  2.678871,  -1.000000
10819, 40, 513.440037, 10136,    39.569608, 471.440473, 12.083160, 68.265428,  0.942809,  2.674838,  -1.000000
10848, 40, 511.296534, 10728,    39.661397, 481.855761, 12.097580, 67.857087,  0.934043,  2.672955,  -1.000000
10863, 40, 510.230918, 11080,    39.581373, 472.762728, 12.054914, 66.394173,  0.931574,  2.671445,  -1.000000
10866, 40, 509.801895, 11200,    39.516789, 465.549523, 12.018568, 65.682414,  0.927407,  2.669828,  -1.000000
10863, 40, 509.634024, 11312,    39.692279, 485.411451, 12.126222, 67.506565,  0.931111,  2.669609,  -1.000000
10849, 40, 510.249861, 11104,    39.597794, 474.614580, 12.104691, 67.654294,  0.933241,  2.668296,  -1.000000
10847, 40, 510.093032, 11112,    39.646814, 480.185751, 12.185481, 68.287241,  0.931111,  2.667328,  -1.000000
237824, 38, 295.958639, 202984,    37.185539, 267.260817, 12.067160, 58.947732,  0.000000,  5.997256,  1.747923
9123, 41, 606.266753, 9416,    40.378309, 571.530458, 12.080000, 63.473825,  0.940463,  2.666598,  -1.000000
9113, 41, 606.699212, 9616,    40.402328, 574.807988, 12.169679, 65.938419,  0.941451,  2.666587,  -1.000000
9098, 41, 607.763859, 9480,    40.360049, 569.051376, 12.231901, 67.915971,  0.939105,  2.665929,  -1.000000
9082, 41, 608.684275, 8480,    40.232353, 552.012402, 12.235654, 68.786236,  0.938426,  2.661495,  -1.000000
9102, 41, 606.336704, 8984,    40.359069, 568.918576, 12.354765, 71.029975,  0.929907,  2.659453,  -1.000000
9104, 41, 605.738258, 8704,    40.245343, 553.722162, 12.325728, 71.593106,  0.934167,  2.655870,  -1.000000
9126, 41, 603.463948, 8632,    40.367770, 570.098264, 12.333432, 72.112166,  0.931790,  2.652881,  -1.000000
9168, 41, 600.023428, 9008,    40.395588, 573.886380, 12.358321, 72.806036,  0.928457,  2.651233,  -1.000000
9206, 41, 597.175351, 8848,    40.441422, 580.182572, 12.346667, 73.111823,  0.938333,  2.649416,  -1.000000
9357, 40, 587.135692, 9592,    39.631863, 478.479647, 12.301037, 72.170087,  0.938272,  2.644651,  -1.000000
9129, 41, 600.717351, 9560,    40.535662, 593.346357, 12.306765, 74.234548,  0.938056,  2.645545,  -1.000845
9117, 41, 604.475671, 10072,    40.622672, 605.765203, 12.354765, 74.887461,  0.939969,  2.648239,  -1.003390
9086, 41, 615.609513, 10104,    40.666912, 612.178915, 12.381037, 74.404019,  0.934846,  2.650913,  -1.005915
9045, 41, 627.584713, 10216,    40.648284, 609.470169, 12.212346, 72.529907,  0.932963,  2.653383,  -1.008244
8985, 41, 640.455804, 10088,    40.745098, 623.680456, 12.185284, 72.109248,  0.937006,  2.655776,  -1.010499
8909, 41, 654.542393, 9776,    40.597059, 602.082760, 12.193383, 72.218869,  0.936235,  2.656050,  -1.010757
8812, 41, 662.747218, 9824,    40.673284, 613.108352, 12.063802, 71.600455,  0.938981,  2.656897,  -1.011555
8649, 41, 678.547395, 9760,    40.672917, 613.054692, 12.023111, 71.072853,  0.939444,  2.657445,  -1.012070
8333, 41, 706.817701, 9608,    40.949142, 654.724344, 12.155654, 72.996070,  0.939352,  2.659240,  -1.013759
7417, 42, 803.368124, 8888,    41.682721, 779.657748, 12.130173, 73.310656,  0.945309,  2.663321,  -1.017595
9007, 41, 674.654356, 9712,    40.686765, 615.079121, 11.929679, 71.663253,  0.944290,  2.662898,  -1.017198
8988, 41, 674.616173, 9360,    40.485784, 586.342526, 11.954370, 71.890461,  0.940802,  2.660262,  -1.014723
8974, 41, 665.911736, 9272,    40.556373, 596.279106, 11.955160, 72.478142,  0.944259,  2.658203,  -1.012788
8959, 41, 659.540671, 8992,    40.519363, 591.048481, 12.036543, 73.003090,  0.949259,  2.655384,  -1.010137
8953, 41, 649.914055, 8840,    40.480392, 585.590324, 12.039704, 73.290009,  0.950679,  2.652276,  -1.007211
8950, 41, 639.035717, 8512,    40.402206, 574.791218, 12.040296, 73.454524,  0.950309,  2.648122,  -1.003296
8968, 41, 623.388884, 8696,    40.503554, 588.828217, 12.041679, 73.363366,  0.946852,  2.645794,  -1.001097
8980, 41, 614.608353, 8400,    40.461152, 582.914188, 12.054123, 73.737016,  0.948457,  2.642624,  -1.000000
9043, 41, 605.965493, 8312,    40.424877, 577.901955, 12.065580, 73.933718,  0.947963,  2.639144,  -1.000000
9251, 41, 591.496823, 7992,    40.315686, 563.073078, 12.054123, 72.767487,  0.955772,  2.633980,  -1.000000
9017, 41, 605.724947, 7672,    40.277083, 557.922096, 12.041679, 72.378232,  0.960895,  2.627560,  -1.000000
9054, 41, 601.779229, 7856,    40.261029, 555.793839, 12.040296, 72.460493,  0.961142,  2.621742,  -1.000000
9095, 41, 597.739959, 7840,    40.283824, 558.818066, 12.039704, 72.091291,  0.958272,  2.616084,  -1.000000
9148, 41, 592.994328, 8320,    40.367770, 570.098264, 12.036543, 71.848683,  0.956142,  2.612572,  -1.000000
9199, 41, 588.915043, 8000,    40.413603, 576.352895, 11.955160, 71.482751,  0.958148,  2.608360,  -1.000000
9285, 40, 582.457008, 8568,    39.419608, 454.902363, 11.954370, 69.287823,  0.955802,  2.599814,  -1.000000
9382, 40, 574.608228, 8880,    39.451961, 458.419624, 11.929679, 68.870114,  0.954938,  2.592511,  -1.000000
9515, 40, 564.984910, 9720,    39.739828, 490.937452, 12.130173, 70.213212,  0.944877,  2.589422,  -1.000000
9677, 40, 554.864653, 10176,    39.803922, 498.485841, 12.155654, 70.422040,  0.943426,  2.587949,  -1.000000
10047, 40, 534.126775, 11024,    39.833701, 502.032409, 12.023111, 68.879491,  0.930802,  2.588747,  -1.000771
10018, 40, 538.045174, 10784,    39.770343, 494.516874, 12.063802, 69.621413,  0.933611,  2.588472,  -1.000505
9996, 40, 538.409510, 11160,    39.799755, 497.991616, 12.193383, 70.863764,  0.935401,  2.589305,  -1.001309
9957, 40, 542.965324, 11120,    39.743995, 491.424677, 12.185284, 71.043967,  0.930309,  2.589584,  -1.001579
9910, 40, 546.443594, 11320,    39.797549, 497.730165, 12.212346, 71.529678,  0.925401,  2.590616,  -1.002575
9838, 40, 553.612860, 10880,    39.811152, 499.344632, 12.381037, 73.866463,  0.928611,  2.590558,  -1.002520
9759, 40, 557.926356, 10856,    39.766789, 494.098654, 12.354765, 74.496296,  0.923241,  2.590178,  -1.002152
9642, 40, 563.517613, 10024,    39.721078, 488.750912, 12.306765, 74.400313,  0.934877,  2.587499,  -1.000000
9516, 40, 563.833368, 10544,    39.725000, 489.207421, 12.301037, 74.376986,  0.937253,  2.586480,  -1.000000
9200, 40, 582.970097, 9664,    39.734191, 490.279035, 12.346667, 74.079369,  0.938704,  2.583274,  -1.000000
8470, 41, 632.429359, 8360,    40.492034, 587.215605, 12.358321, 75.802317,  0.939444,  2.581020,  -1.000000
10851, 40, 493.226712, 9992,    39.427206, 455.725954, 12.333432, 72.596323,  0.922685,  2.576850,  -1.000000
10874, 40, 491.388348, 9584,    39.434436, 456.511079, 12.325728, 71.995215,  0.927469,  2.571699,  -1.000000
10917, 40, 488.474440, 9848,    39.446691, 457.844888, 12.354765, 71.516255,  0.928580,  2.567384,  -1.000000
10962, 40, 485.652866, 10200,    39.459436, 459.236185, 12.235654, 69.262914,  0.927068,  2.564098,  -1.000000
11008, 40, 483.004506, 10656,    39.471569, 460.564519, 12.231901, 68.398701,  0.928117,  2.562045,  -1.000000
11049, 40, 480.826883, 11056,    39.500735, 463.773632, 12.169679, 67.111736,  0.935123,  2.561136,  -1.000000
11086, 40, 479.052087, 11472,    39.462500, 459.571261, 12.080000, 64.992601,  0.926759,  2.560949,  -1.000000
11113, 40, 477.853355, 11680,    39.426471, 455.646187, 12.067160, 63.972462,  0.928117,  2.561005,  -1.000054
11141, 40, 476.798248, 11288,    39.529412, 466.950609, 12.185481, 66.155909,  0.924105,  2.560806,  -1.000000
232102, 37, 255.713460, 210496,    36.791912, 243.353558, 12.104691, 58.119528,  0.000000,  5.746578,  1.734280
8993, 41, 590.468997, 9944,    40.473529, 584.634372, 12.126222, 62.987228,  0.939784,  2.563126,  -1.002265
8965, 41, 600.137152, 9552,    40.410049, 575.865466, 12.018568, 63.616558,  0.935895,  2.563694,  -1.002819
8945, 41, 603.501526, 9904,    40.482475, 585.880833, 12.054914, 65.434440,  0.932284,  2.565553,  -1.004632
8906, 41, 612.613162, 9448,    40.474142, 584.719662, 12.097580, 67.205988,  0.938056,  2.565880,  -1.004950
8873, 41, 616.050619, 9448,    40.440319, 580.030251, 12.083160, 68.258923,  0.940370,  2.565953,  -1.005022
8825, 41, 619.606286, 9408,    40.565074, 597.515528, 12.033383, 68.842079,  0.943519,  2.566669,  -1.005718
8758, 41, 626.999685, 9192,    40.677574, 613.734729, 12.233086, 70.965580,  0.945401,  2.567368,  -1.006400
8663, 41, 636.385449, 8712,    40.677328, 613.698919, 12.273778, 72.328410,  0.949352,  2.566579,  -1.005631
8535, 41, 643.146743, 8720,    40.711152, 618.660533, 12.407309, 73.939559,  0.956698,  2.566136,  -1.005200
8144, 41, 672.394823, 8392,    40.820098, 634.916291, 12.437728, 74.528872,  0.952160,  2.565435,  -1.004517
8951, 41, 609.111452, 8656,    40.498652, 588.141458, 12.314864, 73.623856,  0.942901,  2.563673,  -1.002800
8959, 41, 602.487093, 8424,    40.414338, 576.453794, 12.241580, 72.824458,  0.945247,  2.560957,  -1.000152
8975, 41, 592.111008, 8176,    40.436275, 579.472084, 12.229333, 72.909089,  0.948765,  2.558014,  -1.000000
9008, 41, 588.842939, 8520,    40.531250, 592.723495, 12.166123, 72.371620,  0.950802,  2.556757,  -1.000000
9035, 40, 586.794830, 8616,    39.659681, 481.658988, 12.202469, 71.328974,  0.951142,  2.550495,  -1.000000
9069, 40, 583.163103, 8696,    39.557475, 470.080771, 12.189630, 71.205074,  0.947315,  2.543926,  -1.000000
9114, 40, 578.789173, 8672,    39.576716, 472.238893, 12.170469, 71.430812,  0.947623,  2.537485,  -1.000000
9191, 40, 572.424916, 8312,    39.562623, 470.657135, 12.198716, 71.956870,  0.949907,  2.529965,  -1.000000
9393, 40, 558.515368, 8640,    39.545833, 468.779693, 12.195160, 72.284239,  0.946296,  2.523419,  -1.000000
9912, 40, 527.901786, 9160,    39.390319, 451.741456, 12.163556, 71.986539,  0.947377,  2.517497,  -1.000000
9006, 40, 579.644867, 8256,    39.379779, 450.609441, 12.222815, 72.873345,  0.953302,  2.508969,  -1.000000
9025, 40, 576.401192, 9624,    39.707230, 487.142271, 12.174815, 72.958643,  0.923827,  2.506357,  -1.000000
9010, 40, 576.823686, 9984,    39.721446, 488.793692, 12.221432, 73.461825,  0.941142,  2.504779,  -1.000000
8975, 40, 578.708626, 9792,    39.741299, 491.109359, 12.322173, 74.347960,  0.949136,  2.502850,  -1.000000
8938, 40, 580.656759, 10456,    39.895221, 509.439173, 12.349235, 74.637970,  0.941543,  2.503501,  -1.000650
8851, 41, 588.601905, 9504,    40.693627, 616.084854, 12.346667, 76.618188,  0.945123,  2.506427,  -1.003572
8782, 41, 603.480599, 9168,    40.606985, 603.507263, 12.331062, 76.312623,  0.946759,  2.507510,  -1.004652
8694, 41, 613.491896, 8960,    40.608701, 603.753815, 12.313086, 76.056627,  0.942963,  2.507868,  -1.005009
8544, 41, 625.627261, 8776,    40.610907, 604.070958, 12.350222, 76.300267,  0.944537,  2.507664,  -1.004806
8138, 41, 656.125111, 8344,    40.622304, 605.712186, 12.310716, 75.939063,  0.948086,  2.506286,  -1.003432
8955, 41, 591.296681, 9512,    40.547426, 595.010523, 12.240988, 75.093716,  0.936883,  2.507960,  -1.005102
8939, 41, 598.171491, 9024,    40.517279, 590.755410, 12.199506, 74.339598,  0.940154,  2.507886,  -1.005028
8935, 41, 598.181491, 9800,    40.757230, 625.484444, 12.131160, 74.578805,  0.935123,  2.511335,  -1.008466
8901, 41, 612.607542, 9704,    40.610539, 604.018089, 12.102321, 74.154892,  0.927315,  2.513165,  -1.010288
8862, 41, 621.995594, 9768,    40.652819, 610.128429, 12.061235, 73.998082,  0.931883,  2.515152,  -1.012264
8802, 41, 633.506314, 9392,    40.615441, 604.723386, 12.069728, 74.425344,  0.926420,  2.515631,  -1.012741
8738, 41, 640.064536, 9176,    40.533946, 593.104055, 11.980049, 73.795601,  0.927901,  2.514961,  -1.012074
