codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 360, 384000, 30,                        60, 2, -3, 2073600, 50, 1, 46, 0, 44, 0, 36, 0 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
9681, 40, 525.484159, 8672,    39.571936, 471.701876, 12.314864, 75.643938,  0.952932,  2.447975,  -1.000000
9720, 40, 522.234573, 8904,    39.784069, 496.135392, 12.437728, 77.025897,  0.946698,  2.444573,  -1.000000
9762, 40, 519.265174, 9536,    39.791544, 497.019134, 12.407309, 76.707843,  0.947253,  2.442930,  -1.000000
9789, 40, 517.432047, 9856,    39.797059, 497.672084, 12.273778, 75.588039,  0.943333,  2.442143,  -1.000000
9811, 40, 516.158159, 9512,    39.698284, 486.105876, 12.233086, 75.037792,  0.942469,  2.439922,  -1.000000
9876, 40, 512.294718, 10104,    39.633946, 478.717019, 12.033383, 72.971698,  0.941852,  2.438825,  -1.000000
9931, 40, 509.228434, 10336,    39.686887, 484.788731, 12.083160, 73.175219,  0.940093,  2.438600,  -1.000000
10037, 40, 503.804098, 10296,    39.765074, 493.896882, 12.097580, 72.787993,  0.931852,  2.438737,  -1.000140
10717, 40, 472.168842, 11336,    39.683701, 484.421136, 12.054914, 71.186920,  0.923765,  2.440729,  -1.002183
10700, 40, 478.468153, 11456,    39.649142, 480.452002, 12.018568, 70.302274,  0.925463,  2.442500,  -1.003996
10675, 40, 484.548244, 11840,    39.790196, 496.859655, 12.126222, 71.966138,  0.921698,  2.445653,  -1.007224
10628, 40, 495.645338, 11512,    39.714093, 487.938811, 12.104691, 72.082530,  0.928333,  2.447236,  -1.008841
10581, 40, 502.504603, 11304,    39.695833, 485.822318, 12.185481, 72.833822,  0.930617,  2.448041,  -1.009664
10524, 40, 507.570420, 11248,    39.526593, 466.637380, 12.067160, 71.735336,  0.928148,  2.447625,  -1.009239
10442, 40, 510.358403, 11160,    39.552451, 469.518811, 12.080000, 72.111644,  0.932315,  2.447224,  -1.008829
10315, 40, 515.544340, 11280,    39.559926, 470.355142, 12.169679, 73.523465,  0.930216,  2.447187,  -1.008792
10043, 40, 529.464053, 10360,    39.586397, 473.328571, 12.231901, 74.656612,  0.933241,  2.445209,  -1.006771
212317, 37, 255.712866, 207560,    37.085294, 260.958133, 12.235654, 60.708961,  0.000000,  5.592759,  1.725582
8919, 41, 589.858327, 8216,    40.275735, 557.743074, 12.354765, 65.110156,  0.938951,  2.441819,  -1.003305
8937, 40, 576.787663, 9232,    39.474265, 460.860226, 12.325728, 64.407477,  0.934691,  2.437133,  -1.000000
8931, 40, 565.853630, 9064,    39.514338, 465.277955, 12.333432, 65.499244,  0.936358,  2.432724,  -1.000000
8927, 40, 565.082986, 8928,    39.577574, 472.335345, 12.358321, 66.586711,  0.933426,  2.428365,  -1.000000
8928, 40, 564.007339, 9504,    39.652941, 480.886729, 12.346667, 67.304349,  0.938333,  2.426011,  -1.000000
8901, 40, 565.169914, 9600,    39.721446, 488.793692, 12.301037, 68.396767,  0.938333,  2.424323,  -1.000000
8854, 40, 567.774656, 9840,    39.819608, 500.350858, 12.306765, 69.106931,  0.938272,  2.423818,  -1.000000
8756, 40, 574.009791, 10360,    40.011520, 523.741063, 12.354765, 70.278466,  0.937901,  2.425674,  -1.001914
8495, 41, 598.362114, 10352,    40.838603, 637.719524, 12.381037, 71.873050,  0.934877,  2.432024,  -1.008459
7712, 41, 685.609260, 9192,    40.875858, 643.400716, 12.212346, 71.138555,  0.940401,  2.434784,  -1.011296
8841, 41, 607.307921, 10944,    40.822794, 635.323941, 12.185284, 70.610963,  0.929444,  2.441134,  -1.017816
8782, 41, 635.261044, 10176,    40.751103, 624.572688, 12.193383, 70.761615,  0.936821,  2.444378,  -1.021138
8733, 41, 651.467307, 10056,    40.733088, 621.899815, 12.063802, 70.410714,  0.934722,  2.446760,  -1.023574
8674, 41, 665.453642, 9800,    40.670956, 612.768586, 12.023111, 70.205138,  0.935154,  2.447796,  -1.024633
8608, 41, 674.945609, 10168,    40.904902, 647.864890, 12.155654, 71.691487,  0.931142,  2.450971,  -1.027875
8495, 41, 697.355131, 9824,    40.823162, 635.379550, 12.130173, 72.138678,  0.940679,  2.452352,  -1.029284
8346, 41, 716.007132, 9016,    40.692525, 615.923108, 11.929679, 71.078782,  0.946481,  2.450605,  -1.027503
8166, 41, 724.556204, 8384,    40.657230, 610.769581, 11.954370, 71.488982,  0.948549,  2.447079,  -1.023906
7887, 41, 734.941496, 8008,    40.678922, 613.931722, 11.955160, 72.491638,  0.952778,  2.443055,  -1.019795
7142, 42, 793.580593, 7920,    41.587010, 762.093666, 12.036543, 73.030354,  0.952006,  2.444642,  -1.021419
8708, 41, 654.530799, 8736,    40.671201, 612.804342, 12.039704, 72.918409,  0.944599,  2.443112,  -1.019854
8707, 41, 648.619030, 8192,    40.479534, 585.470745, 12.040296, 73.291018,  0.948549,  2.439090,  -1.015739
8723, 41, 631.950456, 8312,    40.619485, 605.305876, 12.041679, 73.197790,  0.948827,  2.436844,  -1.013436
8738, 41, 622.308092, 8704,    40.630025, 606.826519, 12.054123, 73.490948,  0.947994,  2.436131,  -1.012705
8745, 41, 619.211524, 8520,    40.581740, 599.891048, 12.065580, 73.603332,  0.949228,  2.434715,  -1.011252
8761, 41, 612.822162, 7192,    40.389461, 573.049838, 12.054123, 73.130018,  0.961019,  2.428223,  -1.004586
8870, 40, 582.039732, 7904,    39.589461, 473.673930, 12.041679, 70.797085,  0.963302,  2.420407,  -1.000000
8991, 40, 558.220097, 8248,    39.537377, 467.836958, 12.040296, 70.730846,  0.958086,  2.414045,  -1.000000
9190, 40, 544.696705, 8632,    39.684926, 484.562486, 12.039704, 70.169193,  0.954290,  2.409708,  -1.000000
9691, 40, 515.609456, 8680,    39.551961, 469.464021, 12.036543, 69.916846,  0.953272,  2.404794,  -1.000000
8762, 40, 569.114486, 8424,    39.651471, 480.718401, 11.955160, 69.442344,  0.957284,  2.399789,  -1.000000
8771, 40, 567.347177, 8528,    39.636765, 479.038356, 11.954370, 68.916352,  0.951605,  2.395054,  -1.000000
8779, 40, 565.711892, 8632,    39.650000, 480.550132, 11.929679, 68.479851,  0.954198,  2.390742,  -1.000000
8787, 40, 564.179269, 9328,    39.857230, 504.852472, 12.130173, 69.653172,  0.947500,  2.389514,  -1.000000
8767, 40, 565.175906, 9752,    39.957475, 517.045714, 12.155654, 69.794259,  0.942407,  2.389932,  -1.000437
8719, 40, 569.746663, 10240,    39.984069, 520.329486, 12.023111, 68.617208,  0.933611,  2.391608,  -1.002190
8616, 40, 582.539278, 10304,    39.902696, 510.346612, 12.063802, 69.327276,  0.938210,  2.392732,  -1.003365
8438, 41, 598.924768, 9992,    40.758824, 625.721718, 12.193383, 71.764409,  0.935093,  2.397835,  -1.008697
8123, 41, 642.253911, 9808,    40.893873, 646.165998, 12.185284, 72.148921,  0.935648,  2.402537,  -1.013599
7224, 41, 744.804725, 9416,    41.059191, 672.104158, 12.212346, 72.918567,  0.937407,  2.406522,  -1.017746
9615, 40, 570.927945, 11008,    39.867892, 506.135523, 12.381037, 72.798572,  0.925617,  2.406937,  -1.018177
9576, 40, 574.723936, 11264,    39.827206, 501.256733, 12.354765, 73.479124,  0.926019,  2.407624,  -1.018891
9519, 40, 580.618517, 10216,    39.736275, 490.522260, 12.306765, 73.003151,  0.935586,  2.405298,  -1.016475
9484, 40, 574.710653, 10680,    39.771691, 494.675601, 12.301037, 72.854477,  0.936265,  2.404594,  -1.015744
9417, 40, 576.358140, 10000,    39.684314, 484.491806, 12.346667, 72.126525,  0.933796,  2.401884,  -1.012926
9360, 40, 570.582005, 8968,    39.498897, 463.570718, 12.358321, 71.897526,  0.935000,  2.395854,  -1.006650
9336, 40, 551.546851, 9120,    39.455882, 458.847802, 12.333432, 70.718357,  0.932377,  2.390879,  -1.001458
9284, 40, 538.177342, 9160,    39.556863, 470.012203, 12.325728, 70.165664,  0.933858,  2.387316,  -1.000000
9178, 40, 539.370105, 9016,    39.529289, 466.936986, 12.354765, 69.685460,  0.938056,  2.383448,  -1.000000
8890, 40, 555.941336, 9480,    39.657475, 481.406112, 12.235654, 67.405661,  0.933426,  2.381549,  -1.000000
10556, 40, 467.826803, 10920,    39.693015, 485.496429, 12.231901, 67.318930,  0.929660,  2.383239,  -1.001774
10545, 40, 473.059638, 10944,    39.504657, 464.206811, 12.169679, 66.573517,  0.926173,  2.383676,  -1.002232
10532, 40, 474.878517, 11056,    39.515931, 465.454456, 12.080000, 65.757277,  0.930247,  2.384358,  -1.002948
10510, 40, 477.768593, 11280,    39.499510, 463.638346, 12.067160, 65.616863,  0.931883,  2.385331,  -1.003968
10472, 40, 482.297070, 10960,    39.579044, 472.500738, 12.185481, 67.251251,  0.928457,  2.385930,  -1.004595
10436, 40, 485.699603, 10744,    39.543260, 468.492573, 12.104691, 67.506466,  0.936698,  2.385764,  -1.004422
10395, 40, 487.188922, 11288,    39.637623, 479.136198, 12.126222, 68.509878,  0.929784,  2.387341,  -1.006075
10281, 40, 497.283410, 11160,    39.598162, 474.656122, 12.018568, 67.702806,  0.929167,  2.388200,  -1.006974
10068, 40, 510.490940, 11048,    39.679534, 483.940855, 12.054914, 69.035126,  0.933025,  2.389158,  -1.007977
